,statistics,time,simulation_time,generation_time
0,25,2020-12-10 23:33:45.823992,16864.340906620026,5752.370823144913
1,25,2020-12-11 09:41:21.134318,,
2,25,2020-12-11 22:19:21.002173,,
3,25,2020-12-12 11:19:21.069313,,
4,25,2020-12-12 21:41:23.993708,,
5,25,2020-12-13 09:41:21.654623,,
6,25,2020-12-13 22:10:21.313707,,
7,25,2020-12-14 10:12:31.911116,,
8,25,2020-12-14 23:09:21.002234,,
9,25,2020-12-15 11:00:52.881000,,
10,25,2020-12-15 22:49:21.013761,,
11,25,2020-12-16 09:41:39.572556,,
12,33,2020-12-16 22:21:21.022936,,
13,45,2020-12-17 09:41:22.097859,,
14,48,2020-12-17 22:26:21.143347,,
15,56,2020-12-18 11:15:49.460374,,
16,60,2020-12-18 23:10:21.001530,,
17,77,2020-12-19 11:18:06.049439,,
18,81,2020-12-19 23:59:21.709451,,
19,88,2020-12-20 09:41:22.303933,,
20,88,2020-12-20 22:08:21.001470,,
21,111,2020-12-21 11:08:23.395941,,
22,116,2020-12-21 23:19:21.000000,,
23,131,2020-12-22 09:41:23.938394,,
24,136,2020-12-22 21:41:22.312747,,
25,190,2020-12-23 09:58:21.000000,,
26,192,2020-12-23 21:41:21.314890,,
27,253,2020-12-24 09:41:21.600510,,
28,261,2020-12-24 22:41:21.062209,,
29,293,2020-12-25 09:43:46.785195,,
30,299,2020-12-25 21:46:21.000000,,
31,320,2020-12-26 09:41:25.510030,,
32,334,2020-12-26 22:16:21.000000,,
33,487,2020-12-27 09:41:22.866014,,
34,507,2020-12-27 22:22:54.740720,,
35,507,2020-12-28 09:43:21.000000,,
36,536,2020-12-28 21:50:21.000000,,
37,624,2020-12-29 09:41:21.583225,,
38,624,2020-12-29 22:37:21.000000,,
39,986,2020-12-30 09:41:22.134263,,
40,1012,2020-12-30 22:21:21.000000,,
41,1077,2020-12-31 09:41:26.378638,,
42,1132,2020-12-31 22:27:12.703753,,
43,1132,2021-01-01 09:41:25.221555,,
44,1153,2021-01-01 21:47:21.000000,,
45,2132,2021-01-02 09:41:21.402130,,
46,2183,2021-01-02 22:39:21.000000,,
47,2588,2021-01-03 09:41:21.543228,,
48,2620,2021-01-03 21:52:21.000000,,
49,2818,2021-01-04 09:41:21.703097,,
50,2875,2021-01-04 21:46:21.000000,,
51,2988,2021-01-05 09:41:23.190377,,
52,3055,2021-01-05 21:41:21.000000,,
53,3620,2021-01-06 09:41:21.250258,,
54,3713,2021-01-06 22:03:49.815859,,
55,3866,2021-01-07 09:41:21.843825,,
56,4011,2021-01-07 21:41:21.000000,,
57,4131,2021-01-08 09:41:22.404875,,
58,4269,2021-01-08 21:43:21.000000,,
59,4681,2021-01-09 09:41:21.735012,,
60,4821,2021-01-09 21:42:21.000000,,
61,4965,2021-01-10 09:41:21.678431,,
62,5241,2021-01-10 21:43:21.000000,,
63,5558,2021-01-11 09:41:21.000000,,
64,5682,2021-01-11 21:41:21.000000,,
65,5792,2021-01-12 09:41:21.559424,,
66,5922,2021-01-12 21:43:21.000000,,
67,6517,2021-01-13 09:41:21.000000,,
68,6595,2021-01-13 21:50:21.000000,,
69,7141,2021-01-14 09:41:21.349020,,
70,7285,2021-01-14 21:42:21.000000,,
71,7484,2021-01-15 09:41:26.763596,,
72,7586,2021-01-15 21:41:21.000000,,
73,7680,2021-01-16 09:41:23.703733,,
74,7880,2021-01-16 21:46:21.000000,,
75,8532,2021-01-17 09:41:22.325504,,
76,8499,2021-01-17 21:41:21.000000,,
77,8899,2021-01-18 09:41:21.273401,,
78,8971,2021-01-18 21:42:21.000000,,
79,9409,2021-01-19 09:41:22.288824,,
80,9522,2021-01-19 21:41:21.000000,,
81,9610,2021-01-20 09:41:25.064915,,
82,9852,2021-01-20 21:42:21.000000,,
83,9803,2021-01-21 09:41:23.734077,,
84,9982,2021-01-21 21:41:21.000000,,
85,10319,2021-01-22 09:41:21.341639,,
86,10354,2021-01-22 21:44:21.000000,,
87,10490,2021-01-23 09:41:22.217795,,
88,10508,2021-01-23 21:43:21.000000,,
89,10503,2021-01-24 09:41:23.207125,,
90,10704,2021-01-24 21:43:21.000000,,
91,10524,2021-01-25 09:41:21.725117,,
92,10505,2021-01-25 21:41:21.000000,,
93,10629,2021-01-26 09:41:21.000000,,
94,10528,2021-01-26 21:41:21.000000,,
95,11072,2021-01-27 09:41:21.372948,,
96,10998,2021-01-27 21:41:21.000000,,
97,11053,2021-01-28 09:41:23.608824,,
98,10951,2021-01-28 21:42:21.000000,,
99,11207,2021-01-29 09:41:21.000000,,
100,11101,2021-01-29 21:41:21.000000,,
101,11023,2021-01-30 09:41:23.889295,,
102,10911,2021-01-30 21:42:21.000000,,
103,11209,2021-01-31 09:41:21.000000,,
104,11099,2021-01-31 21:42:21.000000,,
105,11151,2021-02-01 09:41:21.000000,,
106,11161,2021-02-01 21:42:21.000000,,
107,10955,2021-02-02 09:41:21.000000,,
108,10872,2021-02-02 21:41:21.000000,,
109,11096,2021-02-03 09:41:21.000000,,
110,10985,2021-02-03 21:41:21.000000,,
111,10843,2021-02-04 09:41:21.867548,,
112,10686,2021-02-04 21:41:21.000000,,
113,10729,2021-02-05 09:41:22.295094,,
114,10653,2021-02-05 21:43:21.000000,,
115,10415,2021-02-06 09:41:22.648838,,
116,10267,2021-02-06 21:42:21.000000,,
117,10656,2021-02-07 09:41:22.390032,,
118,10416,2021-02-07 21:41:21.000000,,
119,10469,2021-02-08 09:41:23.108311,,
120,10333,2021-02-08 21:41:21.000000,,
121,10200,2021-02-09 09:41:21.000000,,
122,10035,2021-02-09 21:41:21.000000,,
123,9885,2021-02-10 09:41:21.000000,,
124,9809,2021-02-10 21:41:21.000000,,
125,9767,2021-02-11 09:41:21.128454,,
126,9582,2021-02-11 21:41:21.000000,,
127,9316,2021-02-12 09:41:21.563649,,
128,9244,2021-02-12 21:41:21.000000,,
129,9311,2021-02-13 09:41:22.143300,,
130,9140,2021-02-13 21:41:21.000000,,
131,9087,2021-02-14 09:41:21.896930,,
132,8947,2021-02-14 21:51:21.000000,,
133,8965,2021-02-15 09:41:22.245687,,
134,8890,2021-02-15 21:41:21.000000,,
135,8694,2021-02-16 09:41:22.091171,,
136,8565,2021-02-16 21:41:21.000000,,
137,8378,2021-02-17 09:41:21.000000,,
138,8262,2021-02-17 21:44:21.000000,,
139,8040,2021-02-18 09:41:22.019032,,
140,7844,2021-02-18 21:41:21.000000,,
141,7801,2021-02-19 09:41:22.339398,,
142,7677,2021-02-19 21:41:21.000000,,
143,7643,2021-02-20 09:41:21.331420,,
144,7452,2021-02-20 21:41:21.000000,,
145,7373,2021-02-21 09:41:21.000000,,
146,7173,2021-02-21 21:42:21.000000,,
147,6993,2021-02-22 09:41:21.268483,,
148,6831,2021-02-22 21:43:21.000000,,
149,6595,2021-02-23 09:41:21.000000,,
150,6406,2021-02-23 21:42:21.000000,,
151,6348,2021-02-24 09:41:21.239786,,
152,6184,2021-02-24 21:41:21.000000,,
153,6223,2021-02-25 09:41:21.000000,,
154,6083,2021-02-25 21:44:21.000000,,
155,5928,2021-02-26 09:41:28.460192,,
156,5776,2021-02-26 21:41:21.000000,,
157,5993,2021-02-27 09:41:21.581048,,
158,5859,2021-02-27 21:45:21.000000,,
159,5818,2021-02-28 09:41:23.706657,,
160,5658,2021-02-28 21:46:21.000000,,
161,5552,2021-03-01 09:41:21.309521,,
162,5360,2021-03-01 21:44:21.000000,,
163,5314,2021-03-02 09:41:21.000000,,
164,5168,2021-03-02 21:41:21.000000,,
165,5015,2021-03-03 09:41:21.862576,,
166,4885,2021-03-03 21:41:21.000000,,
167,4919,2021-03-04 09:41:21.847471,,
168,4788,2021-03-04 21:42:21.000000,,
169,4726,2021-03-05 09:41:21.000000,,
170,4582,2021-03-05 21:41:21.000000,,
171,4682,2021-03-06 09:41:23.182177,,
172,4578,2021-03-06 21:41:21.000000,,
173,4424,2021-03-07 09:41:21.818654,,
174,4302,2021-03-07 21:46:21.000000,,
175,4239,2021-03-08 09:41:22.794844,,
176,4115,2021-03-08 21:46:21.000000,,
177,4023,2021-03-09 09:41:22.969471,,
178,3905,2021-03-09 21:53:21.000000,,
179,3805,2021-03-10 09:41:21.812266,,
180,3707,2021-03-10 21:43:21.000000,,
181,3738,2021-03-11 09:41:21.000000,,
182,3650,2021-03-11 21:41:21.000000,,
183,3531,2021-03-12 09:41:21.127661,,
184,3483,2021-03-12 21:51:21.000000,,
185,3485,2021-03-13 09:41:23.077122,,
186,3400,2021-03-13 22:09:21.000000,,
187,3394,2021-03-14 09:41:22.141051,,
188,3339,2021-03-14 21:47:21.000000,,
189,3347,2021-03-15 09:41:23.399308,,
190,3278,2021-03-15 21:53:21.000000,,
191,3413,2021-03-16 09:41:23.439604,,
192,3349,2021-03-16 21:43:21.000000,,
193,3320,2021-03-17 09:41:21.416164,,
194,3244,2021-03-17 21:52:21.000000,,
195,3188,2021-03-18 09:41:21.000000,,
196,3139,2021-03-18 21:45:21.000000,,
197,3483,2021-03-19 09:41:21.000000,,
198,3414,2021-03-19 21:56:21.000000,,
199,3499,2021-03-20 09:41:21.635504,,
200,3428,2021-03-20 21:48:21.000000,,
201,3407,2021-03-21 09:41:23.462623,,
202,3346,2021-03-21 21:47:21.000000,,
203,3496,2021-03-22 09:41:22.856752,,
204,3416,2021-03-22 21:44:21.000000,,
205,3414,2021-03-23 09:41:22.433917,,
206,3317,2021-03-23 21:48:21.000000,,
207,3392,2021-03-24 09:41:21.000000,,
208,3335,2021-03-24 21:43:21.000000,,
209,3358,2021-03-25 09:41:25.267730,,
210,3280,2021-03-25 21:42:21.000000,,
211,3212,2021-03-26 09:41:21.644429,,
212,3164,2021-03-26 21:42:21.000000,,
213,3239,2021-03-27 09:41:24.507111,,
214,3150,2021-03-27 21:44:21.000000,,
215,3130,2021-03-28 09:41:25.450206,,
216,3072,2021-03-28 21:47:21.000000,,
217,3012,2021-03-29 09:41:22.544839,,
218,2957,2021-03-29 21:43:21.000000,,
219,3210,2021-03-30 09:41:21.756410,,
220,3158,2021-03-30 21:46:21.000000,,
221,3323,2021-03-31 09:41:21.467118,,
222,3275,2021-03-31 21:45:21.000000,,
223,3255,2021-04-01 09:41:21.016040,,
224,3228,2021-04-01 21:41:21.000000,,
225,3279,2021-04-02 09:41:25.116499,,
226,3237,2021-04-02 21:41:21.000000,,
227,3384,2021-04-03 09:41:21.431101,,
228,3351,2021-04-03 21:51:21.000000,,
229,3306,2021-04-04 09:41:22.550342,,
230,3275,2021-04-04 21:42:21.000000,,
231,3268,2021-04-05 09:41:21.398730,,
232,3239,2021-04-05 21:46:21.000000,,
233,3282,2021-04-06 09:41:21.987453,,
234,3263,2021-04-06 21:51:21.000000,,
235,3296,2021-04-07 09:41:26.237566,,
236,3234,2021-04-07 22:01:21.000000,,
237,3279,2021-04-08 09:41:22.094076,,
238,3225,2021-04-08 21:41:21.000000,,
239,3242,2021-04-09 09:41:21.000000,,
240,3168,2021-04-09 21:52:21.000000,,
241,3156,2021-04-10 09:41:21.000000,,
242,3075,2021-04-10 21:45:21.000000,,
243,3275,2021-04-11 09:41:22.988061,,
244,3198,2021-04-11 21:41:21.000000,,
245,3111,2021-04-12 09:41:21.444156,,
246,3036,2021-04-12 21:58:21.000000,,
247,3149,2021-04-13 09:41:22.330779,,
248,3059,2021-04-13 21:43:21.000000,,
249,2977,2021-04-14 09:41:21.702966,,
250,2902,2021-04-14 21:45:21.000000,,
251,2947,2021-04-15 09:41:21.483561,,
252,2873,2021-04-15 21:46:21.000000,,
253,2899,2021-04-16 09:41:22.678593,,
254,2855,2021-04-16 21:42:21.000000,,
255,2783,2021-04-17 09:41:22.237824,,
256,2748,2021-04-17 21:54:21.000000,,
257,2778,2021-04-18 09:41:21.000000,,
258,2727,2021-04-18 21:56:21.000000,,
259,2763,2021-04-19 09:41:26.774056,,
260,2714,2021-04-19 21:43:21.000000,,
261,2709,2021-04-20 09:41:23.621268,,
262,2635,2021-04-20 21:45:21.000000,,
263,2626,2021-04-21 09:41:22.047413,,
264,2586,2021-04-21 21:41:21.000000,,
265,2583,2021-04-22 09:41:22.496391,,
266,2542,2021-04-22 21:51:40.093995,,
267,2501,2021-04-23 09:41:23.813347,,
268,2428,2021-04-23 21:48:21.000000,,
269,2359,2021-04-24 09:41:21.267241,,
270,2310,2021-04-24 21:48:21.000000,,
271,2332,2021-04-25 09:41:21.000000,,
272,2265,2021-04-25 21:43:21.000000,,
273,2311,2021-04-26 09:41:24.362963,,
274,2268,2021-04-26 21:59:21.000000,,
275,2210,2021-04-27 09:41:22.007457,,
276,2192,2021-04-27 21:45:21.000000,,
277,2193,2021-04-28 09:41:21.833993,,
278,2156,2021-04-28 21:43:21.000000,,
279,2192,2021-04-29 09:41:23.332259,,
280,2154,2021-04-29 21:41:21.000000,,
281,2181,2021-04-30 09:41:29.834287,,
282,2145,2021-04-30 21:58:21.000000,,
283,2272,2021-05-01 09:41:25.084394,,
284,2217,2021-05-01 21:41:21.000000,,
285,2171,2021-05-02 09:41:23.907067,,
286,2098,2021-05-02 21:42:21.000000,,
287,2045,2021-05-03 09:41:21.960389,,
288,2011,2021-05-03 21:46:21.000000,,
289,2022,2021-05-04 09:41:21.461427,,
290,1961,2021-05-04 21:52:21.000000,,
291,1981,2021-05-05 09:41:24.210080,,
292,1920,2021-05-05 21:41:21.000000,,
293,1980,2021-05-06 09:41:22.227506,,
294,1936,2021-05-06 21:42:21.000000,,
295,1942,2021-05-07 09:41:21.596597,,
296,1894,2021-05-07 21:49:21.000000,,
297,1919,2021-05-08 09:41:22.197041,,
298,1876,2021-05-08 22:16:21.000000,,
299,1916,2021-05-09 09:41:21.044468,,
300,1885,2021-05-09 21:45:21.000000,,
301,1893,2021-05-10 09:41:21.311516,,
302,1852,2021-05-10 21:45:21.000000,,
303,1889,2021-05-11 09:41:21.497641,,
304,1854,2021-05-11 21:44:21.000000,,
305,1894,2021-05-12 09:41:21.328249,,
306,1861,2021-05-12 22:05:21.000000,,
307,1897,2021-05-13 09:41:21.934317,,
308,1868,2021-05-13 21:51:21.000000,,
309,1885,2021-05-14 09:41:21.652852,,
310,1853,2021-05-14 21:41:21.000000,,
311,1947,2021-05-15 09:41:23.199467,,
312,1917,2021-05-15 21:41:21.000000,,
313,1902,2021-05-16 09:41:22.315067,,
314,1875,2021-05-16 21:44:21.000000,,
315,2010,2021-05-17 09:41:23.852073,,
316,1980,2021-05-17 21:42:21.000000,,
317,2067,2021-05-18 09:41:21.899984,,
318,2048,2021-05-18 21:41:21.000000,,
319,2089,2021-05-19 09:41:27.861425,,
320,2065,2021-05-19 21:46:21.000000,,
321,2145,2021-05-20 09:41:22.484611,,
322,2120,2021-05-20 21:44:21.000000,,
323,2075,2021-05-21 09:41:23.171214,,
324,2037,2021-05-21 21:50:21.000000,,
325,2037,2021-05-22 09:41:21.535423,,
326,1996,2021-05-22 21:55:21.000000,,
327,1954,2021-05-23 09:41:22.726890,,
328,1939,2021-05-23 21:52:21.000000,,
329,2043,2021-05-24 09:41:23.484061,,
330,2010,2021-05-24 21:47:21.000000,,
331,2135,2021-05-25 09:41:21.481715,,
332,2109,2021-05-25 21:42:21.000000,,
333,2138,2021-05-26 09:41:21.496812,,
334,2084,2021-05-26 22:00:21.000000,,
335,2191,2021-05-27 09:41:23.106683,,
336,2159,2021-05-27 21:43:21.000000,,
337,2257,2021-05-28 09:41:23.332596,,
338,2223,2021-05-28 22:05:21.000000,,
339,2189,2021-05-29 09:41:21.176810,,
340,2150,2021-05-29 21:47:21.000000,,
341,2407,2021-05-30 09:41:23.352329,,
342,2375,2021-05-30 21:53:21.000000,,
343,2398,2021-05-31 09:41:21.945868,,
344,2364,2021-05-31 21:48:21.000000,,
345,2340,2021-06-01 09:41:22.381601,,
346,2301,2021-06-01 21:52:21.000000,,
347,2256,2021-06-02 09:41:22.792672,,
348,2217,2021-06-02 22:02:21.000000,,
349,2317,2021-06-03 09:41:24.008947,,
350,2278,2021-06-03 21:55:21.000000,,
351,2410,2021-06-04 09:41:24.334575,,
352,2379,2021-06-04 21:52:21.000000,,
353,2439,2021-06-05 09:41:23.647439,,
354,2424,2021-06-05 21:44:21.000000,,
355,2389,2021-06-06 09:41:21.109076,,
356,2369,2021-06-06 21:43:21.000000,,
357,2316,2021-06-07 09:41:21.746770,,
358,2279,2021-06-07 21:43:21.000000,,
359,2226,2021-06-08 09:41:21.000000,,
360,2185,2021-06-08 21:54:21.000000,,
361,2204,2021-06-09 09:41:27.350526,,
362,2158,2021-06-09 21:43:21.000000,,
363,2264,2021-06-10 09:41:23.266293,,
364,2213,2021-06-10 21:56:21.000000,,
365,2255,2021-06-11 09:41:21.385665,,
366,2221,2021-06-11 23:01:21.000000,,
367,2206,2021-06-12 09:41:21.605596,,
368,2164,2021-06-12 22:29:21.000000,,
369,2268,2021-06-13 09:41:21.181133,,
370,2249,2021-06-13 21:43:21.000000,,
371,2227,2021-06-14 09:41:22.396515,,
372,2196,2021-06-14 21:45:21.000000,,
373,2341,2021-06-15 09:41:27.369259,,
374,2311,2021-06-15 22:00:21.000000,,
375,2258,2021-06-16 09:41:21.329736,,
376,2225,2021-06-16 21:48:21.000000,,
377,2186,2021-06-17 09:41:24.959926,,
378,2131,2021-06-17 21:48:21.000000,,
379,2096,2021-06-18 09:41:21.761404,,
380,2065,2021-06-18 21:41:21.000000,,
381,2009,2021-06-19 09:41:21.350163,,
382,1966,2021-06-19 22:00:21.000000,,
383,1916,2021-06-20 09:41:23.366797,,
384,1863,2021-06-20 21:41:21.000000,,
385,1862,2021-06-21 09:41:21.430059,,
386,1813,2021-06-21 21:47:21.000000,,
387,1754,2021-06-22 09:41:23.702842,,
388,1696,2021-06-22 21:48:21.000000,,
389,1658,2021-06-23 09:41:21.371347,,
390,1620,2021-06-23 22:13:18.033827,,
391,1640,2021-06-24 09:41:22.491640,,
392,1596,2021-06-24 21:42:21.000000,,
393,1698,2021-06-25 09:41:21.005115,,
394,1660,2021-06-25 21:41:21.000000,,
395,1670,2021-06-26 09:41:21.924516,,
