,statistics,time,simulation_time,generation_time
0,25,2020-12-11 00:10:12.124812,15171.463850975037,6532.755489587784
1,25,2020-12-11 09:41:22.397342,,
2,25,2020-12-11 22:19:21.000021,,
3,25,2020-12-12 11:19:21.585641,,
4,25,2020-12-12 21:41:21.389900,,
5,25,2020-12-13 09:41:22.697168,,
6,25,2020-12-13 21:58:21.079869,,
7,25,2020-12-14 09:41:22.689980,,
8,25,2020-12-14 21:41:25.152161,,
9,25,2020-12-15 09:41:22.685939,,
10,25,2020-12-15 22:16:21.000000,,
11,25,2020-12-16 09:41:22.161282,,
12,36,2020-12-16 21:51:00.353892,,
13,88,2020-12-17 09:41:21.461442,,
14,92,2020-12-17 22:04:21.006145,,
15,96,2020-12-18 11:04:21.002656,,
16,98,2020-12-18 21:41:21.213795,,
17,109,2020-12-19 09:41:22.260282,,
18,117,2020-12-19 22:33:21.898596,,
19,117,2020-12-20 09:48:45.258859,,
20,117,2020-12-20 21:41:21.540298,,
21,153,2020-12-21 09:42:21.669182,,
22,155,2020-12-21 22:35:21.000000,,
23,197,2020-12-22 09:42:22.976314,,
24,205,2020-12-22 22:05:21.000000,,
25,392,2020-12-23 09:41:23.476832,,
26,418,2020-12-23 22:32:21.000000,,
27,537,2020-12-24 10:06:21.000000,,
28,551,2020-12-24 21:59:21.000000,,
29,551,2020-12-25 09:41:21.876553,,
30,583,2020-12-25 22:51:21.000000,,
31,619,2020-12-26 09:43:21.000000,,
32,637,2020-12-26 23:24:21.147753,,
33,765,2020-12-27 09:41:22.722491,,
34,818,2020-12-27 21:45:21.000000,,
35,818,2020-12-28 09:41:22.217127,,
36,883,2020-12-28 21:49:21.000000,,
37,1272,2020-12-29 09:41:21.044468,,
38,1317,2020-12-29 21:47:21.000000,,
39,1490,2020-12-30 09:41:22.477334,,
40,1561,2020-12-30 21:52:21.000000,,
41,1641,2020-12-31 09:41:24.784291,,
42,1693,2020-12-31 21:47:21.000000,,
43,2368,2021-01-01 09:41:21.675788,,
44,2443,2021-01-01 21:46:21.000000,,
45,2564,2021-01-02 09:41:21.255114,,
46,2655,2021-01-02 22:33:21.000000,,
47,3566,2021-01-03 09:41:25.272500,,
48,3651,2021-01-03 21:41:21.000000,,
49,3733,2021-01-04 09:41:21.000000,,
50,3825,2021-01-04 21:43:21.000000,,
51,4390,2021-01-05 09:41:21.880530,,
52,4501,2021-01-05 21:51:21.000000,,
53,4654,2021-01-06 09:41:21.000000,,
54,4878,2021-01-06 21:46:21.000000,,
55,5099,2021-01-07 09:41:23.625876,,
56,5221,2021-01-07 21:42:21.000000,,
57,5638,2021-01-08 09:41:21.834964,,
58,5818,2021-01-08 21:42:21.000000,,
59,6425,2021-01-09 09:41:21.000000,,
60,6600,2021-01-09 21:43:21.000000,,
61,6758,2021-01-10 09:41:21.000000,,
62,6899,2021-01-10 21:41:21.000000,,
63,7276,2021-01-11 09:41:21.526822,,
64,7427,2021-01-11 21:45:21.000000,,
65,7697,2021-01-12 09:41:21.000000,,
66,7834,2021-01-12 21:42:21.000000,,
67,8406,2021-01-13 09:41:21.122025,,
68,8376,2021-01-13 21:42:21.000000,,
69,9053,2021-01-14 09:41:21.000000,,
70,9024,2021-01-14 21:42:21.000000,,
71,9330,2021-01-15 09:41:21.000000,,
72,9493,2021-01-15 21:42:21.000000,,
73,9678,2021-01-16 09:41:21.310639,,
74,9828,2021-01-16 21:41:21.000000,,
75,9968,2021-01-17 09:41:21.205818,,
76,10252,2021-01-17 21:41:21.000000,,
77,10625,2021-01-18 09:41:22.229760,,
78,10730,2021-01-18 21:42:21.000000,,
79,11012,2021-01-19 09:41:21.000000,,
80,11135,2021-01-19 21:43:21.000000,,
81,11409,2021-01-20 09:41:22.324353,,
82,11535,2021-01-20 21:41:21.000000,,
83,11743,2021-01-21 09:41:21.042762,,
84,11976,2021-01-21 21:41:21.000000,,
85,11826,2021-01-22 09:41:21.279156,,
86,11962,2021-01-22 21:42:21.000000,,
87,12097,2021-01-23 09:41:22.439530,,
88,12132,2021-01-23 21:41:21.000000,,
89,12176,2021-01-24 09:41:21.000000,,
90,11971,2021-01-24 21:42:21.000000,,
91,11867,2021-01-25 09:41:21.000000,,
92,11797,2021-01-25 21:43:21.000000,,
93,11921,2021-01-26 09:41:24.919979,,
94,11792,2021-01-26 21:42:21.000000,,
95,11910,2021-01-27 09:41:21.944934,,
96,11797,2021-01-27 21:41:21.000000,,
97,11937,2021-01-28 09:41:21.000000,,
98,11922,2021-01-28 21:41:21.000000,,
99,11668,2021-01-29 09:41:22.571551,,
100,11556,2021-01-29 21:41:21.000000,,
101,11802,2021-01-30 09:41:21.259548,,
102,11528,2021-01-30 21:43:21.000000,,
103,11654,2021-01-31 09:41:22.129098,,
104,11537,2021-01-31 21:42:21.000000,,
105,11511,2021-02-01 09:41:21.000000,,
106,11364,2021-02-01 21:41:21.000000,,
107,11224,2021-02-02 09:41:21.000000,,
108,11012,2021-02-02 21:41:21.000000,,
109,10831,2021-02-03 09:41:21.000000,,
110,10634,2021-02-03 21:41:21.000000,,
111,10395,2021-02-04 09:41:21.000000,,
112,10276,2021-02-04 21:41:21.000000,,
113,10069,2021-02-05 09:41:21.000000,,
114,9913,2021-02-05 21:41:21.000000,,
115,10098,2021-02-06 09:41:24.518972,,
116,9947,2021-02-06 21:42:21.000000,,
117,9924,2021-02-07 09:41:22.444726,,
118,9788,2021-02-07 21:41:21.000000,,
119,9747,2021-02-08 09:41:23.868585,,
120,9524,2021-02-08 21:52:21.000000,,
121,9375,2021-02-09 09:41:21.000000,,
122,9230,2021-02-09 21:41:21.000000,,
123,8968,2021-02-10 09:41:21.000000,,
124,8761,2021-02-10 21:41:21.000000,,
125,8516,2021-02-11 09:41:22.869295,,
126,8363,2021-02-11 21:42:21.000000,,
127,8323,2021-02-12 09:41:21.888966,,
128,8141,2021-02-12 21:43:21.000000,,
129,8202,2021-02-13 09:41:21.514036,,
130,7996,2021-02-13 21:43:21.000000,,
131,7861,2021-02-14 09:41:32.479314,,
132,7677,2021-02-14 21:41:21.000000,,
133,7642,2021-02-15 09:41:27.669023,,
134,7462,2021-02-15 21:41:21.000000,,
135,7399,2021-02-16 09:41:22.706574,,
136,7237,2021-02-16 21:43:21.000000,,
137,7084,2021-02-17 09:41:21.330441,,
138,6912,2021-02-17 21:41:21.000000,,
139,7002,2021-02-18 09:41:22.599236,,
140,6879,2021-02-18 21:43:21.000000,,
141,6657,2021-02-19 09:41:21.000000,,
142,6519,2021-02-19 21:44:21.000000,,
143,6425,2021-02-20 09:41:21.000000,,
144,6284,2021-02-20 21:42:21.000000,,
145,6177,2021-02-21 09:41:24.650778,,
146,6040,2021-02-21 21:42:41.481420,,
147,5931,2021-02-22 09:41:21.000000,,
148,5728,2021-02-22 21:42:21.000000,,
149,5698,2021-02-23 09:41:22.618254,,
150,5558,2021-02-23 21:41:21.000000,,
151,5519,2021-02-24 09:41:22.672004,,
152,5374,2021-02-24 21:42:21.000000,,
153,5504,2021-02-25 09:41:22.179602,,
154,5400,2021-02-25 21:48:21.000000,,
155,5287,2021-02-26 09:41:21.000000,,
156,5175,2021-02-26 21:41:21.000000,,
157,5173,2021-02-27 09:41:22.342258,,
158,5063,2021-02-27 21:41:21.000000,,
159,5082,2021-02-28 09:41:24.929411,,
160,4938,2021-02-28 21:50:21.000000,,
161,4934,2021-03-01 09:41:22.096614,,
162,4836,2021-03-01 21:44:21.000000,,
163,4676,2021-03-02 09:41:21.050563,,
164,4580,2021-03-02 21:41:21.000000,,
165,4480,2021-03-03 09:41:21.280299,,
166,4375,2021-03-03 21:43:21.000000,,
167,4448,2021-03-04 09:41:21.851370,,
168,4364,2021-03-04 21:42:21.000000,,
169,4452,2021-03-05 09:41:21.000000,,
170,4312,2021-03-05 21:50:21.000000,,
171,4222,2021-03-06 09:41:21.202413,,
172,4127,2021-03-06 21:43:21.000000,,
173,4173,2021-03-07 09:41:21.000000,,
174,4075,2021-03-07 21:44:21.000000,,
175,4121,2021-03-08 09:41:21.424052,,
176,4050,2021-03-08 21:43:21.000000,,
177,4044,2021-03-09 09:41:21.291285,,
178,3955,2021-03-09 21:44:21.000000,,
179,3872,2021-03-10 09:41:21.000000,,
180,3775,2021-03-10 21:41:21.000000,,
181,3701,2021-03-11 09:41:22.501181,,
182,3619,2021-03-11 21:41:21.000000,,
183,3627,2021-03-12 09:41:21.843712,,
184,3543,2021-03-12 21:45:21.000000,,
185,3564,2021-03-13 09:41:24.002659,,
186,3511,2021-03-13 21:47:21.000000,,
187,3471,2021-03-14 09:41:21.000000,,
188,3392,2021-03-14 21:58:21.000000,,
189,3368,2021-03-15 09:41:27.691138,,
190,3282,2021-03-15 21:57:21.000000,,
191,3431,2021-03-16 09:41:26.539722,,
192,3359,2021-03-16 21:44:21.000000,,
193,3433,2021-03-17 09:41:23.136046,,
194,3381,2021-03-17 21:42:21.000000,,
195,3300,2021-03-18 09:41:22.170980,,
196,3238,2021-03-18 21:54:21.000000,,
197,3179,2021-03-19 09:41:24.789765,,
198,3095,2021-03-19 21:46:21.000000,,
199,3057,2021-03-20 09:41:21.288083,,
200,2976,2021-03-20 21:44:21.000000,,
201,2987,2021-03-21 09:41:21.027023,,
202,2908,2021-03-21 21:42:21.000000,,
203,3114,2021-03-22 09:41:22.313408,,
204,3038,2021-03-22 21:46:21.000000,,
205,3038,2021-03-23 09:41:21.000000,,
206,2982,2021-03-23 22:03:21.000000,,
207,3080,2021-03-24 09:41:21.000000,,
208,3034,2021-03-24 21:48:21.000000,,
209,2987,2021-03-25 09:41:21.323765,,
210,2925,2021-03-25 21:52:21.000000,,
211,2913,2021-03-26 09:41:21.596684,,
212,2834,2021-03-26 21:41:21.000000,,
213,2863,2021-03-27 09:41:22.145482,,
214,2794,2021-03-27 21:41:21.000000,,
215,2833,2021-03-28 09:41:21.173254,,
216,2758,2021-03-28 21:48:21.000000,,
217,2711,2021-03-29 09:41:24.190245,,
218,2657,2021-03-29 21:42:21.000000,,
219,2681,2021-03-30 09:41:22.642719,,
220,2640,2021-03-30 21:42:21.000000,,
221,2587,2021-03-31 09:41:21.437691,,
222,2531,2021-03-31 21:43:21.000000,,
223,2512,2021-04-01 09:41:21.000000,,
224,2459,2021-04-01 21:41:21.000000,,
225,2606,2021-04-02 09:41:22.181299,,
226,2564,2021-04-02 21:45:21.000000,,
