,statistics,time,simulation_time,generation_time
0,25,2020-12-10 22:00:08.079842,227825.2956750393,5515.099039316177
1,25,2020-12-11 09:41:28.512427,,
2,25,2020-12-11 21:49:54.726527,,
3,25,2020-12-12 09:41:21.451880,,
4,25,2020-12-12 21:45:16.709598,,
5,25,2020-12-13 09:41:21.388087,,
6,25,2020-12-13 21:46:46.578663,,
7,25,2020-12-14 09:41:26.111379,,
8,25,2020-12-14 22:00:10.683218,,
9,25,2020-12-15 09:41:21.781791,,
10,25,2020-12-15 22:16:21.000000,,
11,26,2020-12-16 09:41:21.116961,,
12,26,2020-12-16 21:52:08.027232,,
13,27,2020-12-17 09:41:21.401690,,
14,28,2020-12-17 21:56:22.328666,,
15,30,2020-12-18 09:41:23.914621,,
16,31,2020-12-18 22:19:49.422273,,
17,33,2020-12-19 09:41:21.513081,,
18,33,2020-12-19 22:12:22.883666,,
19,33,2020-12-20 09:41:21.331712,,
20,35,2020-12-20 21:41:59.501729,,
21,39,2020-12-21 09:41:21.319448,,
22,39,2020-12-21 22:14:15.282434,,
23,43,2020-12-22 09:41:21.032161,,
24,43,2020-12-22 21:42:34.636066,,
25,46,2020-12-23 09:41:21.134338,,
26,48,2020-12-23 21:51:29.391150,,
27,52,2020-12-24 09:41:22.369652,,
28,52,2020-12-24 22:12:12.773358,,
29,57,2020-12-25 09:41:25.629549,,
30,59,2020-12-25 21:58:09.252066,,
31,59,2020-12-26 09:41:21.325100,,
32,59,2020-12-26 22:09:43.746330,,
33,63,2020-12-27 09:41:21.651987,,
34,63,2020-12-27 22:00:43.697216,,
35,69,2020-12-28 09:41:21.426123,,
36,72,2020-12-28 22:10:04.037979,,
37,78,2020-12-29 09:41:26.073822,,
38,79,2020-12-29 21:48:21.000000,,
39,92,2020-12-30 09:41:21.483926,,
40,92,2020-12-30 22:00:54.132665,,
41,107,2020-12-31 09:41:21.667221,,
42,106,2020-12-31 22:08:14.912733,,
43,135,2021-01-01 09:41:21.004593,,
44,133,2021-01-01 21:54:54.753290,,
45,143,2021-01-02 09:41:22.815765,,
46,142,2021-01-02 22:19:02.839020,,
47,156,2021-01-03 09:41:21.156117,,
48,155,2021-01-03 22:05:22.985663,,
49,174,2021-01-04 09:41:21.055618,,
50,173,2021-01-04 22:07:00.569410,,
51,203,2021-01-05 09:41:21.980794,,
52,202,2021-01-05 21:46:23.635848,,
53,229,2021-01-06 09:41:22.179915,,
54,229,2021-01-06 22:02:23.252298,,
55,297,2021-01-07 09:41:21.138867,,
56,299,2021-01-07 22:07:15.548573,,
57,354,2021-01-08 09:41:22.817975,,
58,353,2021-01-08 22:00:33.829053,,
59,421,2021-01-09 09:41:21.405734,,
60,426,2021-01-09 22:02:55.743368,,
61,492,2021-01-10 09:41:22.734038,,
62,497,2021-01-10 22:05:21.000000,,
63,589,2021-01-11 09:41:21.000000,,
64,593,2021-01-11 21:51:21.000000,,
65,698,2021-01-12 09:41:21.764679,,
66,701,2021-01-12 21:53:03.318537,,
67,831,2021-01-13 09:41:21.000000,,
68,834,2021-01-13 22:04:21.000000,,
69,970,2021-01-14 09:41:22.457964,,
70,974,2021-01-14 21:47:57.101273,,
71,1112,2021-01-15 09:41:21.174613,,
72,1123,2021-01-15 21:50:11.911261,,
73,1274,2021-01-16 09:41:21.075564,,
74,1288,2021-01-16 21:42:21.000000,,
75,1436,2021-01-17 09:41:22.914849,,
76,1445,2021-01-17 21:47:53.479390,,
77,1584,2021-01-18 09:41:25.969782,,
78,1594,2021-01-18 21:41:21.000000,,
79,1726,2021-01-19 09:41:21.147304,,
80,1738,2021-01-19 21:43:21.000000,,
81,1871,2021-01-20 09:41:28.098378,,
82,1886,2021-01-20 21:49:21.000000,,
83,2039,2021-01-21 09:41:21.000000,,
84,2066,2021-01-21 21:50:14.778894,,
85,2190,2021-01-22 09:41:22.646664,,
86,2215,2021-01-22 21:45:03.182144,,
87,2333,2021-01-23 09:41:21.098459,,
88,2338,2021-01-23 21:56:21.000000,,
89,2431,2021-01-24 09:41:21.514068,,
90,2454,2021-01-24 21:47:21.000000,,
91,2535,2021-01-25 09:41:21.947045,,
92,2540,2021-01-25 21:42:21.000000,,
93,2609,2021-01-26 09:41:22.268179,,
94,2639,2021-01-26 21:47:21.000000,,
95,2723,2021-01-27 09:41:24.447857,,
96,2738,2021-01-27 21:43:21.000000,,
97,2799,2021-01-28 09:41:22.262243,,
98,2809,2021-01-28 21:41:21.000000,,
99,2875,2021-01-29 09:41:22.607086,,
100,2886,2021-01-29 21:59:21.000000,,
101,2936,2021-01-30 09:41:21.452622,,
102,2950,2021-01-30 21:47:21.000000,,
103,3006,2021-01-31 09:41:21.565428,,
104,3004,2021-01-31 22:06:27.908723,,
105,3055,2021-02-01 09:41:21.618747,,
106,3049,2021-02-01 21:47:21.000000,,
107,3097,2021-02-02 09:41:21.279060,,
108,3086,2021-02-02 21:49:21.000000,,
109,3167,2021-02-03 09:41:21.141993,,
110,3149,2021-02-03 21:50:21.000000,,
111,3230,2021-02-04 09:41:21.289783,,
112,3198,2021-02-04 21:41:21.000000,,
113,3266,2021-02-05 09:41:21.000000,,
114,3223,2021-02-05 21:44:21.000000,,
115,3302,2021-02-06 09:41:21.251783,,
116,3267,2021-02-06 21:48:21.000000,,
117,3354,2021-02-07 09:41:22.997742,,
118,3309,2021-02-07 21:46:21.000000,,
119,3389,2021-02-08 09:41:21.587076,,
120,3346,2021-02-08 21:49:21.000000,,
121,3420,2021-02-09 09:41:26.910834,,
122,3394,2021-02-09 21:45:21.000000,,
123,3502,2021-02-10 09:41:22.947196,,
124,3448,2021-02-10 21:44:21.000000,,
125,3521,2021-02-11 09:41:21.000000,,
126,3471,2021-02-11 21:41:21.000000,,
127,3566,2021-02-12 09:41:21.000000,,
128,3503,2021-02-12 21:42:21.000000,,
129,3631,2021-02-13 09:41:22.349009,,
130,3571,2021-02-13 21:43:21.000000,,
131,3686,2021-02-14 09:41:22.957057,,
132,3652,2021-02-14 21:41:21.000000,,
133,3749,2021-02-15 09:41:21.119542,,
134,3725,2021-02-15 21:42:21.000000,,
135,3823,2021-02-16 09:41:22.544398,,
136,3803,2021-02-16 21:45:21.000000,,
137,3899,2021-02-17 09:41:23.561430,,
138,3864,2021-02-17 21:46:21.000000,,
139,3971,2021-02-18 09:41:22.000870,,
140,3932,2021-02-18 21:42:21.000000,,
141,4041,2021-02-19 09:41:21.000000,,
142,4000,2021-02-19 21:47:09.386736,,
143,4105,2021-02-20 09:41:21.589643,,
144,4080,2021-02-20 21:41:21.000000,,
145,4159,2021-02-21 09:41:21.201202,,
146,4137,2021-02-21 21:41:21.000000,,
147,4233,2021-02-22 09:41:22.185266,,
148,4203,2021-02-22 21:41:21.000000,,
149,4314,2021-02-23 09:41:22.997646,,
150,4284,2021-02-23 21:44:21.000000,,
151,4370,2021-02-24 09:41:21.017288,,
152,4356,2021-02-24 21:44:21.000000,,
153,4435,2021-02-25 09:41:24.375784,,
154,4419,2021-02-25 21:43:21.000000,,
155,4520,2021-02-26 09:41:21.209703,,
156,4497,2021-02-26 21:45:21.000000,,
157,4591,2021-02-27 09:41:21.842816,,
158,4565,2021-02-27 21:54:21.000000,,
159,4646,2021-02-28 09:41:21.000000,,
160,4595,2021-02-28 21:45:21.000000,,
161,4686,2021-03-01 09:41:28.748246,,
162,4638,2021-03-01 21:49:21.000000,,
163,4715,2021-03-02 09:41:21.000000,,
164,4664,2021-03-02 21:41:21.000000,,
165,4758,2021-03-03 09:41:21.617349,,
166,4712,2021-03-03 21:42:11.107311,,
167,4781,2021-03-04 09:41:21.000000,,
168,4720,2021-03-04 21:41:21.000000,,
169,4811,2021-03-05 09:41:22.636672,,
170,4761,2021-03-05 21:41:21.000000,,
171,4842,2021-03-06 09:41:22.346692,,
172,4800,2021-03-06 21:44:21.000000,,
173,4856,2021-03-07 09:41:21.323661,,
174,4810,2021-03-07 21:41:21.000000,,
175,4909,2021-03-08 09:41:22.054424,,
176,4852,2021-03-08 21:46:21.000000,,
177,4959,2021-03-09 09:41:21.000000,,
178,4888,2021-03-09 21:43:21.000000,,
179,4997,2021-03-10 09:41:22.289016,,
180,4941,2021-03-10 21:44:21.000000,,
181,5086,2021-03-11 09:41:24.159518,,
182,5011,2021-03-11 21:45:21.000000,,
183,5089,2021-03-12 09:41:22.373991,,
184,5007,2021-03-12 21:41:21.000000,,
185,5091,2021-03-13 09:41:21.655699,,
186,5050,2021-03-13 21:42:21.000000,,
187,5158,2021-03-14 09:41:28.717026,,
188,5102,2021-03-14 21:45:21.000000,,
189,5211,2021-03-15 09:41:21.316530,,
190,5150,2021-03-15 21:44:21.000000,,
191,5285,2021-03-16 09:41:21.911017,,
192,5244,2021-03-16 21:41:21.000000,,
193,5361,2021-03-17 09:41:21.962083,,
194,5317,2021-03-17 21:49:21.000000,,
195,5410,2021-03-18 09:41:21.439121,,
196,5346,2021-03-18 21:45:21.000000,,
197,5442,2021-03-19 09:41:21.324160,,
198,5402,2021-03-19 21:41:21.000000,,
199,5501,2021-03-20 09:41:21.276248,,
200,5434,2021-03-20 21:43:21.000000,,
201,5510,2021-03-21 09:41:21.200243,,
202,5427,2021-03-21 21:41:21.000000,,
203,5503,2021-03-22 09:41:22.139389,,
204,5441,2021-03-22 21:41:21.000000,,
205,5531,2021-03-23 09:41:23.496054,,
206,5481,2021-03-23 21:47:21.000000,,
207,5576,2021-03-24 09:41:23.128470,,
208,5537,2021-03-24 21:42:36.831489,,
209,5637,2021-03-25 09:41:22.219989,,
210,5595,2021-03-25 21:44:21.000000,,
211,5688,2021-03-26 09:41:23.469899,,
212,5598,2021-03-26 21:44:21.000000,,
213,5684,2021-03-27 09:41:21.295007,,
214,5632,2021-03-27 21:45:21.000000,,
215,5732,2021-03-28 09:41:21.000000,,
216,5650,2021-03-28 21:41:21.000000,,
217,5773,2021-03-29 09:41:25.462363,,
218,5703,2021-03-29 21:49:21.000000,,
219,5783,2021-03-30 09:41:21.000000,,
220,5721,2021-03-30 21:45:21.000000,,
221,5777,2021-03-31 09:41:22.265861,,
222,5697,2021-03-31 21:41:21.000000,,
223,5768,2021-04-01 09:41:22.111677,,
224,5694,2021-04-01 21:43:21.000000,,
225,5780,2021-04-02 09:41:21.167904,,
226,5705,2021-04-02 21:51:21.000000,,
227,5773,2021-04-03 09:41:21.000000,,
228,5694,2021-04-03 21:41:21.000000,,
229,5794,2021-04-04 09:41:21.235048,,
230,5707,2021-04-04 21:43:21.000000,,
231,5773,2021-04-05 09:41:22.925966,,
232,5704,2021-04-05 21:42:06.414593,,
233,5790,2021-04-06 09:41:22.787789,,
234,5728,2021-04-06 21:44:21.000000,,
235,5838,2021-04-07 09:41:27.429982,,
236,5774,2021-04-07 21:44:21.000000,,
237,5851,2021-04-08 09:41:21.989601,,
238,5783,2021-04-08 21:43:21.000000,,
239,5844,2021-04-09 09:41:25.251262,,
240,5767,2021-04-09 21:45:21.000000,,
