,statistics,time,simulation_time,generation_time
0,25,2020-12-10 22:48:56.582344,142943.89362359047,5635.27973651886
1,25,2020-12-11 09:41:24.218387,,
2,25,2020-12-11 21:50:53.639729,,
3,25,2020-12-12 09:41:21.557377,,
4,25,2020-12-12 22:51:50.265066,,
5,25,2020-12-13 09:41:22.024577,,
6,25,2020-12-13 22:43:25.655507,,
7,25,2020-12-14 09:41:21.631864,,
8,25,2020-12-14 22:13:08.531342,,
9,25,2020-12-15 09:41:22.396727,,
10,25,2020-12-15 22:06:21.000000,,
11,26,2020-12-16 09:41:22.464860,,
12,26,2020-12-16 22:29:20.385897,,
13,31,2020-12-17 09:41:21.532969,,
14,32,2020-12-17 22:01:57.888369,,
15,40,2020-12-18 09:41:22.028783,,
16,42,2020-12-18 22:35:09.160045,,
17,46,2020-12-19 09:41:21.160624,,
18,46,2020-12-19 21:53:54.935584,,
19,54,2020-12-20 09:41:21.434723,,
20,55,2020-12-20 22:31:38.668514,,
21,59,2020-12-21 09:41:21.318099,,
22,59,2020-12-21 22:08:26.508535,,
23,69,2020-12-22 09:41:21.691466,,
24,70,2020-12-22 21:58:40.856773,,
25,82,2020-12-23 09:41:22.008732,,
26,83,2020-12-23 22:52:06.551261,,
27,96,2020-12-24 09:41:21.083825,,
28,97,2020-12-24 22:22:31.957190,,
29,118,2020-12-25 09:41:21.406488,,
30,121,2020-12-25 22:28:48.528641,,
31,142,2020-12-26 09:41:22.217101,,
32,144,2020-12-26 22:18:58.392802,,
33,179,2020-12-27 09:41:21.091743,,
34,183,2020-12-27 22:43:14.383329,,
35,217,2020-12-28 09:41:24.868714,,
36,218,2020-12-28 22:35:41.195924,,
37,265,2020-12-29 09:41:21.914383,,
38,269,2020-12-29 22:53:02.004033,,
39,314,2020-12-30 09:41:21.340263,,
40,318,2020-12-30 22:14:21.000000,,
41,395,2020-12-31 09:41:22.394836,,
42,393,2020-12-31 21:47:43.721649,,
43,449,2021-01-01 09:41:22.783236,,
44,453,2021-01-01 22:15:21.000000,,
45,541,2021-01-02 09:41:23.560279,,
46,548,2021-01-02 22:20:50.835782,,
47,670,2021-01-03 09:41:21.259791,,
48,676,2021-01-03 22:24:21.000000,,
49,836,2021-01-04 09:41:22.799314,,
50,849,2021-01-04 21:48:38.390765,,
51,1001,2021-01-05 09:41:27.932637,,
52,1004,2021-01-05 21:56:21.000000,,
53,1170,2021-01-06 09:41:21.000000,,
