,statistics,time,simulation_time,generation_time
0,25,2020-12-10 22:05:17.710386,139096.64525651932,6562.532391309738
1,25,2020-12-11 09:41:22.618641,,
2,25,2020-12-11 22:29:10.093470,,
3,25,2020-12-12 09:41:26.196899,,
4,25,2020-12-12 21:48:13.254495,,
5,25,2020-12-13 09:41:21.574503,,
6,25,2020-12-13 22:42:45.847394,,
7,25,2020-12-14 09:41:22.463418,,
8,25,2020-12-14 22:06:59.626714,,
9,25,2020-12-15 09:41:21.027337,,
10,25,2020-12-15 22:23:21.000000,,
11,29,2020-12-16 09:41:21.158202,,
12,32,2020-12-16 23:24:05.082540,,
13,33,2020-12-17 09:41:21.630527,,
14,33,2020-12-17 22:31:04.619457,,
15,41,2020-12-18 09:41:21.223872,,
16,42,2020-12-18 22:03:21.597393,,
17,46,2020-12-19 09:41:22.800854,,
18,47,2020-12-19 21:47:41.029749,,
19,57,2020-12-20 09:41:24.650632,,
20,57,2020-12-20 22:59:50.675194,,
21,64,2020-12-21 09:41:21.239751,,
22,64,2020-12-21 22:55:10.441903,,
23,75,2020-12-22 09:41:21.377374,,
24,75,2020-12-22 21:42:51.596806,,
25,84,2020-12-23 09:41:22.290384,,
26,85,2020-12-23 21:47:21.000000,,
27,102,2020-12-24 09:41:21.204598,,
28,103,2020-12-24 22:49:12.281285,,
29,122,2020-12-25 09:41:21.828575,,
30,125,2020-12-25 22:09:31.229792,,
31,159,2020-12-26 09:41:24.509419,,
32,162,2020-12-26 21:51:12.088134,,
33,199,2020-12-27 09:41:23.088195,,
34,202,2020-12-27 21:58:31.038268,,
35,233,2020-12-28 09:41:22.073693,,
36,239,2020-12-28 22:27:59.350561,,
37,306,2020-12-29 09:41:21.121618,,
38,311,2020-12-29 21:47:21.000000,,
39,385,2020-12-30 09:41:21.114044,,
40,394,2020-12-30 22:20:45.942208,,
41,471,2020-12-31 09:41:21.886984,,
42,472,2020-12-31 21:53:21.000000,,
43,588,2021-01-01 09:41:22.667158,,
44,591,2021-01-01 21:44:21.000000,,
45,707,2021-01-02 09:41:24.464055,,
46,713,2021-01-02 21:43:21.000000,,
47,863,2021-01-03 09:41:21.158312,,
48,871,2021-01-03 22:30:21.000000,,
49,1043,2021-01-04 09:41:21.388764,,
50,1057,2021-01-04 21:44:21.000000,,
51,1314,2021-01-05 09:41:22.318258,,
52,1325,2021-01-05 22:24:21.000000,,
53,1598,2021-01-06 09:41:21.000000,,
54,1606,2021-01-06 21:46:21.000000,,
55,1776,2021-01-07 09:41:22.911887,,
56,1789,2021-01-07 21:51:21.000000,,
57,2006,2021-01-08 09:41:23.448978,,
58,2028,2021-01-08 21:45:21.000000,,
59,2231,2021-01-09 09:41:21.111923,,
60,2249,2021-01-09 21:59:21.000000,,
61,2381,2021-01-10 09:41:21.320722,,
62,2415,2021-01-10 21:43:21.000000,,
63,2568,2021-01-11 09:41:21.000000,,
64,2611,2021-01-11 21:41:21.000000,,
65,2740,2021-01-12 09:41:24.115781,,
66,2785,2021-01-12 21:51:21.000000,,
67,2894,2021-01-13 09:41:21.000000,,
68,2938,2021-01-13 21:57:21.000000,,
69,3029,2021-01-14 09:41:21.000000,,
70,3071,2021-01-14 21:45:21.000000,,
71,3173,2021-01-15 09:41:21.469533,,
72,3234,2021-01-15 21:42:21.000000,,
73,3308,2021-01-16 09:41:21.531606,,
