,statistics,time,simulation_time,generation_time
0,25,2020-12-10 21:51:38.735297,238253.50994610786,6282.696133136749
1,25,2020-12-11 09:41:21.150958,,
2,25,2020-12-11 21:55:50.167279,,
3,25,2020-12-12 09:41:24.911221,,
4,25,2020-12-12 22:06:18.187018,,
5,25,2020-12-13 09:41:21.006485,,
6,25,2020-12-13 21:43:54.027606,,
7,25,2020-12-14 09:41:21.577300,,
8,25,2020-12-14 22:16:06.465330,,
9,25,2020-12-15 09:41:22.811364,,
10,25,2020-12-15 22:11:04.876449,,
11,25,2020-12-16 09:41:21.029154,,
12,25,2020-12-16 21:48:25.083426,,
13,27,2020-12-17 09:41:21.477505,,
14,27,2020-12-17 22:11:41.240147,,
15,33,2020-12-18 09:41:21.354879,,
16,33,2020-12-18 21:52:35.712514,,
17,36,2020-12-19 09:41:23.034452,,
18,36,2020-12-19 22:13:11.662349,,
19,40,2020-12-20 09:41:27.119523,,
20,42,2020-12-20 21:43:27.145203,,
21,51,2020-12-21 09:41:22.393368,,
22,51,2020-12-21 22:06:17.281915,,
23,53,2020-12-22 09:41:21.301121,,
24,54,2020-12-22 21:57:07.108865,,
25,61,2020-12-23 09:41:21.520810,,
26,62,2020-12-23 22:01:35.319811,,
27,68,2020-12-24 09:41:22.226306,,
28,69,2020-12-24 21:46:36.840827,,
29,79,2020-12-25 09:41:22.832161,,
30,79,2020-12-25 22:52:18.531189,,
31,89,2020-12-26 09:41:24.011483,,
32,89,2020-12-26 21:41:24.215072,,
33,107,2020-12-27 09:41:21.258775,,
34,109,2020-12-27 21:58:57.986937,,
35,132,2020-12-28 09:41:21.000000,,
36,133,2020-12-28 22:17:24.669418,,
37,161,2020-12-29 09:41:21.782343,,
38,162,2020-12-29 21:53:41.653694,,
39,199,2020-12-30 09:41:21.154018,,
40,200,2020-12-30 21:52:21.000000,,
41,231,2020-12-31 09:41:24.429040,,
42,232,2020-12-31 21:54:17.667775,,
43,254,2021-01-01 09:41:21.099762,,
44,250,2021-01-01 21:49:17.852773,,
45,307,2021-01-02 09:41:21.881417,,
46,305,2021-01-02 21:56:15.773947,,
47,357,2021-01-03 09:41:24.010411,,
48,360,2021-01-03 21:54:15.289170,,
49,416,2021-01-04 09:41:21.122543,,
50,420,2021-01-04 21:43:21.000000,,
51,501,2021-01-05 09:41:21.536679,,
52,506,2021-01-05 21:45:21.000000,,
53,601,2021-01-06 09:41:25.206282,,
54,603,2021-01-06 22:09:04.379568,,
55,715,2021-01-07 09:41:21.192142,,
56,724,2021-01-07 22:16:32.532632,,
57,823,2021-01-08 09:41:21.503998,,
58,833,2021-01-08 21:44:15.843492,,
59,949,2021-01-09 09:41:22.997634,,
60,953,2021-01-09 21:43:21.000000,,
61,1070,2021-01-10 09:41:22.938841,,
62,1076,2021-01-10 22:01:21.000000,,
63,1191,2021-01-11 09:41:24.050455,,
64,1206,2021-01-11 21:46:21.000000,,
65,1295,2021-01-12 09:41:22.213135,,
66,1308,2021-01-12 21:41:21.000000,,
67,1439,2021-01-13 09:41:21.051582,,
68,1451,2021-01-13 22:00:17.758936,,
69,1544,2021-01-14 09:41:21.300150,,
70,1551,2021-01-14 21:50:21.000000,,
71,1648,2021-01-15 09:41:22.363066,,
72,1664,2021-01-15 21:47:21.000000,,
73,1748,2021-01-16 09:41:21.050906,,
74,1757,2021-01-16 21:47:21.000000,,
75,1865,2021-01-17 09:41:21.598424,,
76,1875,2021-01-17 21:50:43.852946,,
77,1955,2021-01-18 09:41:23.949279,,
78,1969,2021-01-18 21:43:21.000000,,
79,2040,2021-01-19 09:41:22.419160,,
80,2056,2021-01-19 21:44:21.000000,,
81,2141,2021-01-20 09:41:21.222050,,
82,2152,2021-01-20 21:44:21.000000,,
83,2210,2021-01-21 09:41:21.513550,,
84,2225,2021-01-21 21:53:21.000000,,
85,2296,2021-01-22 09:41:23.028981,,
86,2319,2021-01-22 21:47:21.000000,,
87,2388,2021-01-23 09:41:21.945274,,
88,2402,2021-01-23 21:43:21.000000,,
89,2444,2021-01-24 09:41:21.091746,,
90,2453,2021-01-24 22:03:21.000000,,
91,2490,2021-01-25 09:41:21.000000,,
92,2496,2021-01-25 21:44:21.000000,,
93,2546,2021-01-26 09:41:22.080796,,
94,2533,2021-01-26 21:44:21.000000,,
95,2598,2021-01-27 09:41:21.000000,,
96,2591,2021-01-27 21:43:21.000000,,
97,2639,2021-01-28 09:41:22.084768,,
98,2642,2021-01-28 21:43:21.000000,,
99,2708,2021-01-29 09:41:25.337270,,
100,2688,2021-01-29 21:41:21.000000,,
101,2753,2021-01-30 09:41:25.388367,,
102,2730,2021-01-30 21:45:21.000000,,
103,2791,2021-01-31 09:41:21.692878,,
104,2771,2021-01-31 21:42:21.000000,,
105,2840,2021-02-01 09:41:22.142365,,
106,2805,2021-02-01 21:44:21.000000,,
107,2876,2021-02-02 09:41:21.304867,,
108,2831,2021-02-02 21:54:21.000000,,
109,2915,2021-02-03 09:41:21.146698,,
110,2881,2021-02-03 21:44:21.000000,,
111,2965,2021-02-04 09:41:21.339583,,
112,2939,2021-02-04 21:44:06.748192,,
113,3024,2021-02-05 09:41:22.229901,,
114,3002,2021-02-05 21:47:21.000000,,
115,3079,2021-02-06 09:41:21.000000,,
116,3040,2021-02-06 21:42:21.000000,,
117,3130,2021-02-07 09:41:21.000000,,
118,3102,2021-02-07 21:41:21.000000,,
119,3202,2021-02-08 09:41:21.779360,,
120,3168,2021-02-08 21:54:21.000000,,
121,3279,2021-02-09 09:41:21.000000,,
122,3253,2021-02-09 21:51:55.506099,,
123,3361,2021-02-10 09:41:21.124700,,
124,3331,2021-02-10 21:44:21.000000,,
125,3432,2021-02-11 09:41:22.027876,,
126,3410,2021-02-11 21:46:21.000000,,
127,3533,2021-02-12 09:41:22.752071,,
128,3515,2021-02-12 22:02:21.000000,,
129,3598,2021-02-13 09:41:21.000000,,
130,3572,2021-02-13 21:49:21.000000,,
131,3674,2021-02-14 09:41:21.000000,,
132,3637,2021-02-14 21:45:21.000000,,
133,3716,2021-02-15 09:41:21.897910,,
134,3693,2021-02-15 21:53:21.000000,,
135,3807,2021-02-16 09:41:21.933841,,
