,statistics,time,simulation_time,generation_time
0,25,2020-12-11 00:10:21.372748,27822.73113965988,6288.466897249222
1,25,2020-12-11 09:41:21.979847,,
2,25,2020-12-11 22:02:21.328037,,
3,25,2020-12-12 10:49:45.851488,,
4,25,2020-12-12 21:41:21.816240,,
5,25,2020-12-13 10:54:18.874889,,
6,25,2020-12-13 23:38:21.612177,,
7,25,2020-12-14 09:41:24.160488,,
8,25,2020-12-14 22:13:10.831643,,
9,25,2020-12-15 10:30:01.295558,,
10,25,2020-12-15 22:41:30.072943,,
11,27,2020-12-16 09:41:21.742945,,
12,33,2020-12-16 23:25:21.903733,,
13,68,2020-12-17 09:41:21.056221,,
14,69,2020-12-17 21:41:21.504111,,
15,82,2020-12-18 10:23:35.576334,,
16,82,2020-12-18 22:57:21.004413,,
17,89,2020-12-19 10:31:29.645425,,
18,89,2020-12-19 21:41:22.051992,,
19,98,2020-12-20 09:41:25.498285,,
20,101,2020-12-20 22:52:54.441108,,
21,110,2020-12-21 09:41:24.172937,,
22,112,2020-12-21 22:45:21.428807,,
23,130,2020-12-22 09:58:21.000000,,
24,134,2020-12-22 21:44:21.000000,,
25,181,2020-12-23 09:41:21.792566,,
26,189,2020-12-23 23:54:21.273934,,
27,324,2020-12-24 09:41:21.357698,,
28,340,2020-12-24 21:53:21.000000,,
29,429,2020-12-25 10:05:12.339584,,
30,439,2020-12-25 22:00:21.189308,,
31,468,2020-12-26 10:03:21.000000,,
32,475,2020-12-26 23:40:21.048978,,
33,558,2020-12-27 09:41:21.168832,,
34,579,2020-12-27 22:12:17.927526,,
35,683,2020-12-28 10:02:21.000000,,
36,697,2020-12-28 21:59:21.000000,,
37,757,2020-12-29 09:41:21.963624,,
38,801,2020-12-29 21:43:21.000000,,
39,849,2020-12-30 09:41:21.000000,,
40,902,2020-12-30 21:54:21.000000,,
41,990,2020-12-31 09:41:21.000000,,
42,1051,2020-12-31 23:40:21.000000,,
43,1778,2021-01-01 09:41:21.965582,,
44,1819,2021-01-01 22:08:21.000000,,
45,2345,2021-01-02 09:41:22.833590,,
46,2407,2021-01-02 21:45:21.000000,,
47,2511,2021-01-03 09:41:22.730819,,
48,2566,2021-01-03 21:46:21.000000,,
49,2890,2021-01-04 09:41:21.905373,,
50,2929,2021-01-04 21:47:21.000000,,
51,3073,2021-01-05 09:41:21.650518,,
52,3128,2021-01-05 21:43:21.000000,,
53,3460,2021-01-06 09:41:21.000000,,
54,3581,2021-01-06 21:42:21.000000,,
55,3749,2021-01-07 09:41:22.215251,,
56,3864,2021-01-07 21:44:21.000000,,
57,4270,2021-01-08 09:41:22.212523,,
58,4331,2021-01-08 21:47:21.000000,,
59,4594,2021-01-09 09:41:21.405900,,
60,4721,2021-01-09 21:41:21.000000,,
61,4915,2021-01-10 09:41:21.887965,,
62,5095,2021-01-10 21:46:21.000000,,
63,5313,2021-01-11 09:41:23.124522,,
64,5433,2021-01-11 21:50:21.000000,,
65,5733,2021-01-12 09:41:21.831913,,
66,5894,2021-01-12 21:44:21.000000,,
67,6003,2021-01-13 09:41:25.183507,,
68,6104,2021-01-13 21:41:21.000000,,
69,6374,2021-01-14 09:41:21.000000,,
70,6464,2021-01-14 21:42:21.000000,,
71,6950,2021-01-15 09:41:21.473630,,
72,7053,2021-01-15 21:43:21.000000,,
73,7432,2021-01-16 09:41:23.376644,,
74,7457,2021-01-16 21:41:21.000000,,
75,7638,2021-01-17 09:41:22.218466,,
76,7695,2021-01-17 21:41:21.000000,,
77,8080,2021-01-18 09:41:21.000000,,
78,8150,2021-01-18 21:41:21.000000,,
79,8349,2021-01-19 09:41:22.046875,,
80,8472,2021-01-19 21:42:21.000000,,
81,8674,2021-01-20 09:41:23.190343,,
82,8777,2021-01-20 21:43:21.000000,,
83,8975,2021-01-21 09:41:22.923998,,
84,9005,2021-01-21 21:43:21.000000,,
85,9246,2021-01-22 09:41:21.000000,,
86,9323,2021-01-22 21:41:21.000000,,
87,9531,2021-01-23 09:41:21.000000,,
88,9528,2021-01-23 21:41:21.000000,,
89,9789,2021-01-24 09:41:24.735961,,
90,9768,2021-01-24 21:41:21.000000,,
91,10169,2021-01-25 09:41:23.248561,,
92,10094,2021-01-25 21:45:21.000000,,
93,10286,2021-01-26 09:41:21.000000,,
94,10227,2021-01-26 21:42:21.000000,,
95,10439,2021-01-27 09:41:21.000000,,
96,10366,2021-01-27 21:42:21.000000,,
