,statistics,time,simulation_time,generation_time
0,25,2020-12-10 21:57:19.326064,24278.06308078766,6610.915725231171
1,25,2020-12-11 09:41:22.408103,,
2,25,2020-12-11 21:43:21.572295,,
3,25,2020-12-12 13:02:46.686649,,
4,25,2020-12-12 22:38:21.020888,,
5,25,2020-12-13 10:35:59.024352,,
6,25,2020-12-13 21:45:56.911503,,
7,25,2020-12-14 10:31:23.293238,,
8,25,2020-12-14 23:54:21.573013,,
9,25,2020-12-15 09:41:21.940286,,
10,25,2020-12-15 22:03:21.003422,,
11,28,2020-12-16 09:50:21.000000,,
12,32,2020-12-16 21:41:21.259917,,
13,57,2020-12-17 09:41:31.292056,,
14,58,2020-12-17 21:41:21.925813,,
15,76,2020-12-18 10:05:36.960627,,
16,82,2020-12-18 22:22:52.633512,,
17,93,2020-12-19 10:17:03.949087,,
18,95,2020-12-19 23:16:21.008057,,
19,131,2020-12-20 09:41:25.342546,,
20,133,2020-12-20 22:14:21.814079,,
21,147,2020-12-21 09:41:43.187250,,
22,152,2020-12-22 00:00:21.013432,,
23,176,2020-12-22 09:41:21.896628,,
24,180,2020-12-22 22:06:21.000000,,
25,188,2020-12-23 09:41:22.760511,,
26,202,2020-12-23 23:27:21.000000,,
27,434,2020-12-24 09:41:22.390859,,
28,465,2020-12-24 22:49:43.717574,,
29,501,2020-12-25 09:41:22.205113,,
30,520,2020-12-25 21:42:21.000000,,
31,956,2020-12-26 09:41:21.914350,,
32,977,2020-12-26 21:51:21.000000,,
33,1228,2020-12-27 09:41:21.636213,,
34,1247,2020-12-27 22:28:21.000000,,
35,1273,2020-12-28 09:41:21.966413,,
36,1304,2020-12-28 22:03:21.000000,,
37,1366,2020-12-29 09:41:23.406811,,
38,1390,2020-12-29 21:47:21.000000,,
39,1481,2020-12-30 09:41:22.440911,,
40,1556,2020-12-30 21:41:21.000000,,
41,2092,2020-12-31 09:41:23.368184,,
42,2210,2020-12-31 21:41:21.000000,,
43,2633,2021-01-01 09:41:23.450216,,
44,2755,2021-01-01 21:42:21.000000,,
45,2953,2021-01-02 09:41:28.881350,,
46,3085,2021-01-02 21:41:21.000000,,
47,3131,2021-01-03 09:41:22.168460,,
48,3259,2021-01-03 21:42:21.000000,,
49,3448,2021-01-04 09:41:21.553653,,
50,3513,2021-01-04 21:49:21.000000,,
51,3798,2021-01-05 09:41:21.376873,,
52,3877,2021-01-05 21:41:21.000000,,
53,4075,2021-01-06 09:41:24.534661,,
54,4224,2021-01-06 21:42:21.000000,,
55,4550,2021-01-07 09:41:24.756913,,
56,4654,2021-01-07 21:42:21.000000,,
57,4888,2021-01-08 09:41:30.377452,,
58,5039,2021-01-08 21:45:21.000000,,
59,5243,2021-01-09 09:41:21.000000,,
60,5338,2021-01-09 21:46:21.000000,,
61,5689,2021-01-10 09:41:22.560350,,
62,5762,2021-01-10 21:43:21.000000,,
63,5808,2021-01-11 09:41:24.572467,,
64,5990,2021-01-11 21:48:21.000000,,
65,6329,2021-01-12 09:41:21.424028,,
66,6423,2021-01-12 21:41:21.000000,,
67,6471,2021-01-13 09:41:22.249647,,
68,6651,2021-01-13 21:43:21.000000,,
69,6919,2021-01-14 09:41:21.981415,,
70,7077,2021-01-14 21:42:21.000000,,
71,7313,2021-01-15 09:41:21.000000,,
72,7365,2021-01-15 21:41:21.000000,,
73,7580,2021-01-16 09:41:21.199238,,
74,7613,2021-01-16 21:43:21.000000,,
75,8111,2021-01-17 09:41:25.286536,,
76,8161,2021-01-17 21:41:21.000000,,
77,8668,2021-01-18 09:41:21.000000,,
78,8628,2021-01-18 21:45:21.000000,,
79,8951,2021-01-19 09:41:22.654263,,
80,8973,2021-01-19 21:41:21.000000,,
81,9276,2021-01-20 09:41:25.101853,,
82,9316,2021-01-20 21:41:21.000000,,
83,9479,2021-01-21 09:41:21.000000,,
84,9488,2021-01-21 21:42:21.000000,,
85,9746,2021-01-22 09:41:21.114330,,
86,9721,2021-01-22 21:41:21.000000,,
87,9771,2021-01-23 09:41:22.458587,,
88,9825,2021-01-23 21:41:21.000000,,
89,10036,2021-01-24 09:41:21.746852,,
90,10010,2021-01-24 21:41:21.000000,,
91,10194,2021-01-25 09:41:21.460966,,
92,10234,2021-01-25 21:43:21.000000,,
93,10592,2021-01-26 09:41:22.291572,,
94,10525,2021-01-26 21:41:21.000000,,
95,10720,2021-01-27 09:41:21.000000,,
96,10755,2021-01-27 21:41:21.000000,,
97,10912,2021-01-28 09:41:21.000000,,
98,10924,2021-01-28 21:41:21.000000,,
99,10981,2021-01-29 09:41:21.000000,,
100,11025,2021-01-29 21:42:21.000000,,
101,11236,2021-01-30 09:41:23.300542,,
102,11244,2021-01-30 21:41:21.000000,,
103,11402,2021-01-31 09:41:21.119507,,
104,11350,2021-01-31 21:43:21.000000,,
105,11477,2021-02-01 09:41:21.000000,,
106,11413,2021-02-01 21:43:21.000000,,
107,11645,2021-02-02 09:41:21.000000,,
108,11570,2021-02-02 21:41:21.000000,,
109,11651,2021-02-03 09:41:22.431398,,
110,11693,2021-02-03 21:41:21.000000,,
111,11820,2021-02-04 09:41:21.000000,,
112,11785,2021-02-04 21:47:21.000000,,
113,11829,2021-02-05 09:41:22.153057,,
114,11809,2021-02-05 21:42:21.000000,,
115,11911,2021-02-06 09:41:21.000000,,
116,11830,2021-02-06 21:41:21.000000,,
117,11804,2021-02-07 09:41:21.000000,,
118,11703,2021-02-07 21:41:21.000000,,
119,11650,2021-02-08 09:41:21.000000,,
120,11632,2021-02-08 21:42:21.000000,,
121,11666,2021-02-09 09:41:22.123333,,
122,11508,2021-02-09 21:43:21.000000,,
123,11502,2021-02-10 09:41:22.166133,,
124,11351,2021-02-10 21:42:21.000000,,
125,11635,2021-02-11 09:41:22.497513,,
126,11579,2021-02-11 21:41:21.000000,,
127,11594,2021-02-12 09:41:21.558874,,
128,11424,2021-02-12 21:42:21.000000,,
129,11413,2021-02-13 09:41:21.000000,,
130,11228,2021-02-13 21:41:21.000000,,
131,11289,2021-02-14 09:41:22.008354,,
132,11202,2021-02-14 21:42:21.000000,,
133,11213,2021-02-15 09:41:21.074105,,
134,11114,2021-02-15 21:45:21.000000,,
135,11188,2021-02-16 09:41:21.000000,,
136,11019,2021-02-16 21:42:21.000000,,
137,11094,2021-02-17 09:41:21.287593,,
138,10965,2021-02-17 21:41:21.000000,,
139,11064,2021-02-18 09:41:21.616779,,
140,10885,2021-02-18 21:44:21.000000,,
141,10878,2021-02-19 09:41:21.000000,,
142,10712,2021-02-19 21:41:21.000000,,
143,10851,2021-02-20 09:41:21.000000,,
144,10657,2021-02-20 21:41:21.000000,,
145,10668,2021-02-21 09:41:21.000000,,
146,10517,2021-02-21 21:41:21.000000,,
147,10542,2021-02-22 09:41:22.422419,,
148,10344,2021-02-22 21:45:21.000000,,
149,10460,2021-02-23 09:41:21.000000,,
150,10280,2021-02-23 21:42:21.000000,,
151,10412,2021-02-24 09:41:21.056794,,
152,10258,2021-02-24 21:43:21.000000,,
153,10311,2021-02-25 09:41:21.000000,,
154,10132,2021-02-25 21:47:21.000000,,
155,10253,2021-02-26 09:41:21.221466,,
156,10103,2021-02-26 21:44:21.000000,,
157,10057,2021-02-27 09:41:22.190844,,
158,9938,2021-02-27 21:42:21.000000,,
159,10048,2021-02-28 09:41:21.000000,,
160,9914,2021-02-28 21:41:21.000000,,
161,9909,2021-03-01 09:41:21.000000,,
162,9808,2021-03-01 21:41:21.000000,,
163,9825,2021-03-02 09:41:21.000000,,
164,9694,2021-03-02 21:41:21.000000,,
165,9717,2021-03-03 09:41:22.150570,,
166,9629,2021-03-03 21:43:21.000000,,
167,9640,2021-03-04 09:41:21.720650,,
168,9504,2021-03-04 21:45:21.000000,,
169,9514,2021-03-05 09:41:23.691676,,
170,9370,2021-03-05 21:42:21.000000,,
171,9476,2021-03-06 09:41:21.000000,,
172,9330,2021-03-06 21:42:21.000000,,
173,9385,2021-03-07 09:41:21.000000,,
174,9262,2021-03-07 21:41:21.000000,,
175,9148,2021-03-08 09:41:21.000000,,
176,9042,2021-03-08 21:41:21.000000,,
177,9040,2021-03-09 09:41:22.242673,,
178,8903,2021-03-09 21:41:21.000000,,
179,8902,2021-03-10 09:41:21.613916,,
180,8779,2021-03-10 21:41:21.000000,,
181,8927,2021-03-11 09:41:21.173419,,
182,8801,2021-03-11 21:41:21.000000,,
183,8856,2021-03-12 09:41:21.000000,,
184,8703,2021-03-12 21:41:21.000000,,
185,8731,2021-03-13 09:41:21.000000,,
