,statistics,time,simulation_time,generation_time
0,25,2020-12-11 00:10:21.047570,3396.8119747638702,5815.418381690979
1,25,2020-12-11 09:41:22.825490,,
2,25,2020-12-11 22:19:21.034170,,
3,25,2020-12-12 11:19:22.378068,,
4,25,2020-12-12 21:41:21.394875,,
5,25,2020-12-13 09:41:26.786662,,
6,25,2020-12-13 21:41:23.071281,,
7,25,2020-12-14 09:41:24.307623,,
8,25,2020-12-14 21:54:21.038270,,
9,25,2020-12-15 13:24:22.838364,,
10,25,2020-12-15 22:24:21.000000,,
11,25,2020-12-16 09:41:21.188308,,
12,25,2020-12-16 23:34:21.000481,,
13,25,2020-12-17 12:34:22.009900,,
14,25,2020-12-17 21:41:24.462997,,
15,25,2020-12-18 09:45:21.758174,,
16,25,2020-12-18 21:48:27.739991,,
17,25,2020-12-19 09:41:37.870162,,
18,25,2020-12-19 21:41:24.723137,,
19,25,2020-12-20 21:40:21.000000,,
20,25,2020-12-21 00:47:25.841315,,
21,48,2020-12-21 21:40:21.000000,,
22,48,2020-12-21 21:57:22.133845,,
23,48,2020-12-22 19:20:16.566825,,
24,48,2020-12-22 21:41:47.640474,,
25,48,2020-12-23 09:41:21.370275,,
26,48,2020-12-23 22:17:21.006237,,
27,67,2020-12-24 11:17:22.395939,,
28,67,2020-12-24 21:41:21.438754,,
29,67,2020-12-25 09:41:39.451291,,
30,67,2020-12-25 21:41:26.152427,,
31,154,2020-12-26 09:41:54.540649,,
32,154,2020-12-26 22:17:21.000000,,
33,154,2020-12-27 09:41:21.339890,,
34,154,2020-12-27 22:16:21.001290,,
35,154,2020-12-28 11:16:23.963443,,
36,154,2020-12-28 21:41:21.842961,,
37,154,2020-12-29 09:41:21.574771,,
38,154,2020-12-29 23:17:21.386675,,
39,154,2020-12-30 09:41:21.131419,,
40,154,2020-12-30 22:03:21.000000,,
41,153,2020-12-31 09:51:21.000000,,
42,152,2021-01-01 00:08:21.441112,,
43,587,2021-01-01 09:41:21.183404,,
44,586,2021-01-01 22:17:21.000102,,
45,584,2021-01-02 11:17:21.607299,,
46,582,2021-01-02 23:35:21.041021,,
47,582,2021-01-03 09:41:21.149294,,
48,579,2021-01-03 21:44:21.005806,,
49,695,2021-01-04 10:44:24.276226,,
50,694,2021-01-04 21:41:21.666711,,
51,691,2021-01-05 09:41:22.207988,,
52,687,2021-01-05 22:47:21.134943,,
53,799,2021-01-06 10:00:21.000000,,
54,798,2021-01-06 21:45:21.000000,,
55,798,2021-01-07 09:41:23.363031,,
56,798,2021-01-07 22:09:21.019079,,
57,798,2021-01-08 11:09:24.364196,,
58,798,2021-01-08 21:47:21.000000,,
59,798,2021-01-09 09:41:21.000000,,
60,798,2021-01-09 23:46:21.850652,,
61,798,2021-01-10 09:41:21.533112,,
62,798,2021-01-10 21:55:21.001585,,
63,797,2021-01-11 09:45:21.000000,,
64,795,2021-01-11 21:52:21.000000,,
65,793,2021-01-12 09:41:21.417653,,
66,1441,2021-01-12 22:07:21.056836,,
67,1439,2021-01-13 12:41:12.607342,,
68,1437,2021-01-13 22:29:21.000000,,
69,1436,2021-01-14 09:41:26.625799,,
70,1430,2021-01-14 22:46:21.000000,,
71,1426,2021-01-15 09:41:21.473372,,
72,1420,2021-01-15 22:54:21.000000,,
73,1834,2021-01-16 09:41:21.863323,,
74,1827,2021-01-16 21:59:21.390254,,
75,2054,2021-01-17 12:17:59.917597,,
76,2045,2021-01-17 21:43:21.000000,,
77,2038,2021-01-18 09:41:22.621825,,
78,2031,2021-01-18 22:05:21.000000,,
79,2014,2021-01-19 11:12:21.000000,,
80,2007,2021-01-19 23:33:21.087010,,
81,1999,2021-01-20 09:41:21.363961,,
82,1995,2021-01-20 21:58:21.023108,,
83,1983,2021-01-21 09:44:21.000000,,
84,1971,2021-01-21 21:41:21.000000,,
85,1934,2021-01-22 09:41:21.153950,,
86,2347,2021-01-22 21:45:21.000000,,
87,2315,2021-01-23 09:41:23.242853,,
88,2284,2021-01-23 22:01:21.000000,,
89,2253,2021-01-24 09:41:21.399081,,
90,2361,2021-01-24 22:08:21.000000,,
91,2333,2021-01-25 09:41:21.331459,,
92,2277,2021-01-25 21:52:21.000000,,
93,2228,2021-01-26 09:41:21.491034,,
94,2177,2021-01-26 21:59:21.000000,,
95,2127,2021-01-27 09:41:22.101902,,
96,2082,2021-01-27 21:50:21.000000,,
97,2046,2021-01-28 09:41:23.231544,,
98,2016,2021-01-28 22:37:21.000000,,
99,2007,2021-01-29 09:41:21.237241,,
100,1996,2021-01-29 21:41:21.000000,,
101,1980,2021-01-30 09:41:23.292372,,
102,1964,2021-01-30 21:49:21.000000,,
103,3850,2021-01-31 09:41:21.000000,,
104,3840,2021-01-31 23:00:21.120499,,
105,3832,2021-02-01 09:41:21.308835,,
106,3908,2021-02-01 21:43:21.000000,,
107,3883,2021-02-02 09:41:21.163587,,
108,3836,2021-02-02 21:58:21.000000,,
109,3796,2021-02-03 09:41:21.243140,,
110,3750,2021-02-03 22:01:21.000000,,
111,3705,2021-02-04 09:41:25.502353,,
112,3639,2021-02-04 22:25:21.000000,,
113,3584,2021-02-05 09:41:21.000000,,
114,4472,2021-02-05 21:41:21.000000,,
115,4399,2021-02-06 09:41:21.379945,,
116,4298,2021-02-06 21:43:21.000000,,
117,4190,2021-02-07 09:41:22.881371,,
118,4098,2021-02-07 21:44:21.000000,,
119,4010,2021-02-08 09:41:21.000000,,
120,3909,2021-02-08 21:43:21.000000,,
121,3844,2021-02-09 09:41:21.006328,,
122,3799,2021-02-09 21:43:21.000000,,
123,3754,2021-02-10 09:41:21.000000,,
124,4482,2021-02-10 21:42:21.000000,,
125,4433,2021-02-11 09:41:21.000000,,
126,4872,2021-02-11 21:46:21.000000,,
127,4834,2021-02-12 09:41:21.551808,,
128,4790,2021-02-12 21:48:21.000000,,
129,4745,2021-02-13 09:41:22.923172,,
130,4700,2021-02-13 21:45:21.000000,,
131,4669,2021-02-14 09:41:21.246967,,
132,4613,2021-02-14 21:43:21.000000,,
133,4564,2021-02-15 09:41:24.513553,,
134,4516,2021-02-15 21:42:21.000000,,
135,4716,2021-02-16 09:41:21.643935,,
136,4670,2021-02-16 21:41:21.000000,,
137,4616,2021-02-17 09:41:21.476911,,
138,4567,2021-02-17 21:56:21.000000,,
139,4537,2021-02-18 09:41:21.722991,,
140,4493,2021-02-18 22:04:21.000000,,
141,6917,2021-02-19 09:41:21.074191,,
142,6903,2021-02-19 23:58:21.496412,,
143,6877,2021-02-20 09:41:22.536638,,
144,6778,2021-02-20 21:45:21.000000,,
145,6635,2021-02-21 09:41:21.744318,,
146,6489,2021-02-21 21:44:21.000000,,
147,6350,2021-02-22 09:41:21.800692,,
148,6184,2021-02-22 21:41:21.000000,,
149,6028,2021-02-23 09:41:21.000000,,
150,5863,2021-02-23 21:45:21.000000,,
151,5709,2021-02-24 09:41:21.000000,,
152,6074,2021-02-24 21:41:21.000000,,
153,5904,2021-02-25 09:41:21.515087,,
154,5778,2021-02-25 21:47:21.000000,,
155,5620,2021-02-26 09:41:21.062223,,
156,5436,2021-02-26 21:50:21.000000,,
157,5268,2021-02-27 09:41:23.657262,,
158,5168,2021-02-27 21:42:21.000000,,
159,5088,2021-02-28 09:41:21.436036,,
160,4994,2021-02-28 21:53:21.000000,,
161,5904,2021-03-01 09:41:21.000000,,
162,5823,2021-03-01 21:44:21.000000,,
163,5748,2021-03-02 09:41:25.738770,,
164,5683,2021-03-02 21:56:21.000000,,
165,5604,2021-03-03 09:41:21.046401,,
166,5500,2021-03-03 21:43:21.000000,,
167,5372,2021-03-04 09:41:22.152722,,
168,5242,2021-03-04 21:44:21.000000,,
169,5557,2021-03-05 09:41:23.317431,,
170,5449,2021-03-05 21:47:21.000000,,
171,5350,2021-03-06 09:41:21.000000,,
172,6639,2021-03-06 21:43:21.000000,,
173,6542,2021-03-07 09:41:22.597410,,
174,6451,2021-03-07 21:56:21.000000,,
175,6369,2021-03-08 09:41:21.423538,,
176,6272,2021-03-08 22:01:21.000000,,
177,6170,2021-03-09 09:41:22.798846,,
178,6067,2021-03-09 21:52:21.000000,,
179,5982,2021-03-10 09:41:21.613095,,
180,5938,2021-03-10 21:41:21.000000,,
181,5902,2021-03-11 09:41:23.775444,,
182,5800,2021-03-11 21:41:21.000000,,
183,5634,2021-03-12 09:41:21.244767,,
184,6550,2021-03-12 21:41:21.000000,,
185,6354,2021-03-13 09:41:21.000000,,
186,6148,2021-03-13 21:47:21.000000,,
187,6381,2021-03-14 09:41:23.805319,,
188,6154,2021-03-14 21:42:21.000000,,
189,5946,2021-03-15 09:41:21.000000,,
190,5740,2021-03-15 21:44:21.000000,,
191,5545,2021-03-16 09:41:22.462682,,
192,5346,2021-03-16 21:41:21.000000,,
193,5152,2021-03-17 09:41:21.365555,,
194,4987,2021-03-17 21:41:21.000000,,
195,4827,2021-03-18 09:41:21.903073,,
196,4725,2021-03-18 22:07:21.000000,,
197,4684,2021-03-19 09:41:25.633882,,
198,4646,2021-03-19 21:41:21.000000,,
199,4608,2021-03-20 09:41:24.286139,,
200,4829,2021-03-20 22:11:21.000000,,
201,4784,2021-03-21 09:41:21.000000,,
202,4699,2021-03-21 21:48:21.000000,,
203,4593,2021-03-22 09:41:21.016597,,
204,4601,2021-03-22 21:41:21.000000,,
205,4483,2021-03-23 09:41:22.248265,,
206,4394,2021-03-23 21:47:21.000000,,
207,4318,2021-03-24 09:41:21.308065,,
208,4287,2021-03-24 21:55:21.000000,,
209,4217,2021-03-25 09:41:21.675546,,
210,4134,2021-03-25 21:41:21.000000,,
211,4032,2021-03-26 09:41:21.000000,,
212,3895,2021-03-26 21:45:21.000000,,
213,3750,2021-03-27 09:41:21.000000,,
214,3556,2021-03-27 21:44:21.000000,,
215,3360,2021-03-28 09:41:21.000000,,
216,3217,2021-03-28 22:00:21.000000,,
217,3138,2021-03-29 09:41:22.789782,,
218,2996,2021-03-29 21:44:21.000000,,
219,2827,2021-03-30 09:41:21.000000,,
220,2683,2021-03-30 21:42:21.000000,,
221,2533,2021-03-31 09:41:22.958564,,
222,2403,2021-03-31 21:42:21.000000,,
223,2318,2021-04-01 09:41:21.767887,,
224,2217,2021-04-01 21:41:21.000000,,
225,2088,2021-04-02 09:41:23.128146,,
226,1953,2021-04-02 21:50:21.000000,,
227,1847,2021-04-03 09:41:21.480604,,
228,1739,2021-04-03 22:00:21.000000,,
229,1619,2021-04-04 09:41:23.062314,,
230,1494,2021-04-04 21:42:21.000000,,
231,1394,2021-04-05 09:41:22.741260,,
232,1289,2021-04-05 21:44:21.000000,,
233,1188,2021-04-06 09:41:21.149983,,
234,1115,2021-04-06 21:42:21.000000,,
235,999,2021-04-07 09:41:23.351805,,
236,881,2021-04-07 21:58:21.000000,,
237,779,2021-04-08 09:41:28.830497,,
238,698,2021-04-08 21:42:21.000000,,
239,645,2021-04-09 09:41:23.290664,,
240,621,2021-04-09 23:41:21.000000,,
241,591,2021-04-10 09:41:21.693235,,
242,558,2021-04-10 22:30:21.000000,,
243,545,2021-04-11 09:41:21.330153,,
244,519,2021-04-11 22:24:21.000000,,
245,501,2021-04-12 09:41:21.257112,,
246,471,2021-04-12 22:21:21.000000,,
247,765,2021-04-13 09:41:23.643728,,
248,721,2021-04-13 21:56:21.000000,,
249,691,2021-04-14 09:41:22.802700,,
250,658,2021-04-14 21:57:21.000000,,
