,statistics,time,simulation_time,generation_time
0,25,2020-12-10 21:58:59.196035,65393.044118881226,5916.355664253235
1,25,2020-12-11 09:41:25.893499,,
2,25,2020-12-11 22:01:21.062032,,
3,25,2020-12-12 09:46:01.316833,,
4,25,2020-12-12 21:41:22.492533,,
5,25,2020-12-13 09:41:50.480709,,
6,25,2020-12-13 21:43:21.400237,,
7,25,2020-12-14 10:26:46.881214,,
8,25,2020-12-14 22:37:26.318083,,
9,25,2020-12-15 09:41:22.368940,,
10,25,2020-12-15 22:10:21.011380,,
11,26,2020-12-16 09:44:21.000000,,
12,28,2020-12-16 23:13:21.106101,,
13,49,2020-12-17 09:41:23.000214,,
14,50,2020-12-17 22:55:21.073225,,
15,58,2020-12-18 09:41:21.143636,,
16,58,2020-12-18 22:22:13.756852,,
17,70,2020-12-19 09:41:22.072514,,
18,71,2020-12-19 21:43:46.466554,,
19,76,2020-12-20 12:13:17.423744,,
20,76,2020-12-20 22:09:21.094722,,
21,81,2020-12-21 10:26:44.558199,,
22,82,2020-12-21 21:42:43.247193,,
23,93,2020-12-22 09:41:21.000000,,
24,95,2020-12-22 21:49:21.612402,,
25,166,2020-12-23 11:01:01.173631,,
26,167,2020-12-23 23:41:58.207636,,
27,225,2020-12-24 09:41:23.262052,,
28,226,2020-12-24 22:15:21.000000,,
29,301,2020-12-25 12:10:55.006228,,
30,304,2020-12-25 22:36:21.227825,,
31,428,2020-12-26 11:39:13.601552,,
32,435,2020-12-26 23:32:17.747591,,
33,506,2020-12-27 09:41:24.324887,,
34,512,2020-12-27 21:55:21.000000,,
35,591,2020-12-28 09:41:21.078131,,
36,605,2020-12-28 21:57:21.000000,,
37,788,2020-12-29 09:41:21.156569,,
38,816,2020-12-29 22:28:21.000000,,
39,990,2020-12-30 09:41:25.990124,,
40,1021,2020-12-30 21:45:21.000000,,
41,1240,2020-12-31 09:41:26.786728,,
42,1265,2020-12-31 21:44:21.000000,,
43,1465,2021-01-01 09:41:23.432812,,
44,1490,2021-01-01 22:00:21.000000,,
45,1655,2021-01-02 09:41:22.136717,,
46,1695,2021-01-02 21:48:21.000000,,
47,1861,2021-01-03 09:41:21.000000,,
48,1881,2021-01-03 21:45:21.000000,,
49,2053,2021-01-04 09:41:26.047366,,
50,2102,2021-01-04 21:45:21.000000,,
51,2245,2021-01-05 09:41:21.148681,,
52,2291,2021-01-05 21:46:21.000000,,
53,2365,2021-01-06 09:41:21.239027,,
54,2437,2021-01-06 21:47:21.000000,,
55,2522,2021-01-07 09:41:21.418770,,
56,2611,2021-01-07 21:45:21.000000,,
57,2677,2021-01-08 09:41:21.830266,,
58,2758,2021-01-08 21:46:21.000000,,
59,2839,2021-01-09 09:41:21.914581,,
60,2919,2021-01-09 21:45:21.000000,,
61,3035,2021-01-10 09:41:21.588840,,
62,3106,2021-01-10 21:41:21.000000,,
63,3231,2021-01-11 09:41:22.022708,,
64,3283,2021-01-11 21:41:21.000000,,
65,3414,2021-01-12 09:41:21.140325,,
66,3472,2021-01-12 21:48:21.000000,,
67,3598,2021-01-13 09:41:21.332032,,
68,3654,2021-01-13 21:48:21.000000,,
69,3761,2021-01-14 09:41:21.352466,,
70,3812,2021-01-14 21:41:21.000000,,
