,statistics,time,simulation_time,generation_time
0,25,2020-12-10 21:58:32.751783,66513.0523173809,7103.512234210968
1,25,2020-12-11 09:41:23.681179,,
2,25,2020-12-11 22:19:54.642457,,
3,25,2020-12-12 10:56:53.145391,,
4,25,2020-12-12 21:51:21.161585,,
5,25,2020-12-13 11:17:42.433279,,
6,25,2020-12-13 22:26:21.117260,,
7,25,2020-12-14 10:42:33.436570,,
8,25,2020-12-14 21:53:21.055591,,
9,25,2020-12-15 10:27:39.152181,,
10,25,2020-12-15 21:41:21.691302,,
11,25,2020-12-16 09:47:21.000000,,
12,27,2020-12-16 22:29:12.623439,,
13,34,2020-12-17 10:27:05.866988,,
14,35,2020-12-17 21:41:21.432916,,
15,48,2020-12-18 11:31:12.151874,,
16,52,2020-12-18 21:42:03.962434,,
17,62,2020-12-19 09:41:22.460753,,
18,65,2020-12-19 22:13:21.081925,,
19,81,2020-12-20 10:44:48.569484,,
20,81,2020-12-20 23:42:21.073948,,
21,87,2020-12-21 09:41:21.756956,,
22,91,2020-12-21 23:02:21.000000,,
23,109,2020-12-22 09:41:23.388510,,
24,111,2020-12-22 21:47:21.000000,,
25,122,2020-12-23 09:41:22.072865,,
26,122,2020-12-23 22:03:45.820252,,
27,168,2020-12-24 09:41:21.550624,,
28,172,2020-12-24 22:18:21.000000,,
29,212,2020-12-25 09:41:21.168090,,
30,215,2020-12-25 22:13:58.605236,,
31,278,2020-12-26 09:41:21.309781,,
32,283,2020-12-26 21:41:22.108965,,
33,395,2020-12-27 10:32:48.544120,,
34,396,2020-12-27 23:58:21.231123,,
35,555,2020-12-28 09:41:22.159195,,
36,566,2020-12-28 21:48:21.381443,,
37,654,2020-12-29 09:48:21.000000,,
38,661,2020-12-29 21:46:21.000000,,
39,791,2020-12-30 09:41:21.351135,,
40,800,2020-12-30 22:07:21.000000,,
41,1054,2020-12-31 09:41:21.141169,,
42,1069,2020-12-31 21:44:21.000000,,
43,1269,2021-01-01 09:41:22.826907,,
44,1285,2021-01-01 21:54:21.000000,,
45,1519,2021-01-02 09:41:21.073940,,
46,1535,2021-01-02 21:49:21.000000,,
47,1782,2021-01-03 09:41:21.000000,,
48,1824,2021-01-03 21:48:21.000000,,
49,2008,2021-01-04 09:41:21.000000,,
50,2047,2021-01-04 21:44:21.000000,,
51,2219,2021-01-05 09:41:21.000000,,
52,2276,2021-01-05 21:41:21.000000,,
53,2531,2021-01-06 09:41:22.992010,,
54,2594,2021-01-06 21:48:21.000000,,
