,statistics,time,simulation_time,generation_time
0,25,2020-12-10 23:28:07.090899,55882.26993179321,7213.275803804398
1,25,2020-12-11 09:41:22.027577,,
2,25,2020-12-11 21:59:07.148867,,
3,25,2020-12-12 09:41:21.909801,,
4,25,2020-12-12 21:41:21.346042,,
5,25,2020-12-13 09:46:31.992003,,
6,25,2020-12-13 22:08:49.990054,,
7,25,2020-12-14 10:29:44.868930,,
8,25,2020-12-14 23:15:11.417194,,
9,25,2020-12-15 09:41:22.203372,,
10,25,2020-12-15 21:54:21.248310,,
11,25,2020-12-16 09:47:21.000000,,
12,25,2020-12-16 23:24:14.508842,,
13,37,2020-12-17 09:41:23.365886,,
14,39,2020-12-17 22:36:21.260276,,
15,52,2020-12-18 11:24:08.199321,,
16,54,2020-12-18 23:32:21.064876,,
17,73,2020-12-19 09:41:21.272339,,
18,73,2020-12-19 21:47:38.560793,,
19,85,2020-12-20 09:41:21.421114,,
20,86,2020-12-20 22:46:21.106421,,
21,98,2020-12-21 11:05:00.173199,,
22,99,2020-12-21 22:27:21.179011,,
23,107,2020-12-22 11:37:09.389512,,
24,108,2020-12-22 23:29:21.036017,,
25,167,2020-12-23 09:41:24.327933,,
26,168,2020-12-23 21:59:21.000000,,
27,263,2020-12-24 09:41:24.503135,,
28,269,2020-12-24 22:14:21.000000,,
29,342,2020-12-25 09:41:21.989074,,
30,346,2020-12-25 22:24:21.000000,,
31,477,2020-12-26 09:41:21.461802,,
32,486,2020-12-26 22:19:21.465659,,
33,679,2020-12-27 10:35:48.353345,,
34,686,2020-12-27 21:44:42.878211,,
35,893,2020-12-28 09:41:21.053701,,
36,903,2020-12-28 21:53:21.000000,,
37,1100,2020-12-29 09:41:22.038885,,
38,1118,2020-12-29 21:49:21.000000,,
39,1346,2020-12-30 09:41:21.491038,,
40,1364,2020-12-30 21:52:21.000000,,
41,1630,2020-12-31 09:41:21.967492,,
42,1664,2020-12-31 22:05:21.000000,,
43,1925,2021-01-01 09:41:22.059927,,
44,1960,2021-01-01 21:42:21.000000,,
45,2195,2021-01-02 09:41:21.134248,,
46,2235,2021-01-02 21:43:21.000000,,
47,2450,2021-01-03 09:41:21.662755,,
48,2495,2021-01-03 21:43:21.000000,,
49,2680,2021-01-04 09:41:21.000000,,
50,2751,2021-01-04 21:46:56.149025,,
51,2911,2021-01-05 09:41:22.160561,,
52,2982,2021-01-05 21:43:21.000000,,
53,3114,2021-01-06 09:41:21.187160,,
