,statistics,time,simulation_time,generation_time
0,25,2020-12-10 22:08:29.124458,196526.39754271507,5880.360313653946
1,25,2020-12-11 09:41:22.441621,,
2,25,2020-12-11 22:11:37.826956,,
3,25,2020-12-12 09:41:21.307986,,
4,25,2020-12-12 21:50:22.149966,,
5,25,2020-12-13 09:41:22.022415,,
6,25,2020-12-13 22:17:07.516179,,
7,25,2020-12-14 09:41:27.900805,,
8,25,2020-12-14 22:18:49.449098,,
9,25,2020-12-15 09:41:21.397297,,
10,25,2020-12-15 21:43:57.204461,,
11,28,2020-12-16 09:41:22.703128,,
12,29,2020-12-16 22:01:19.511286,,
13,34,2020-12-17 09:41:21.812663,,
14,35,2020-12-17 22:02:04.783464,,
15,47,2020-12-18 09:41:22.203117,,
16,47,2020-12-18 22:14:19.728651,,
17,48,2020-12-19 09:41:23.278367,,
18,48,2020-12-19 21:55:36.238239,,
19,52,2020-12-20 09:41:21.356861,,
20,53,2020-12-20 22:10:37.038488,,
21,62,2020-12-21 09:41:23.156853,,
22,63,2020-12-21 21:49:43.200924,,
23,66,2020-12-22 09:41:21.236675,,
24,66,2020-12-22 22:49:05.019346,,
25,81,2020-12-23 09:41:21.618856,,
26,81,2020-12-23 22:01:26.719910,,
27,103,2020-12-24 09:41:23.531106,,
28,103,2020-12-24 21:47:10.517442,,
29,124,2020-12-25 09:41:21.236234,,
30,125,2020-12-25 21:51:38.386866,,
31,153,2020-12-26 09:41:23.501068,,
32,155,2020-12-26 22:06:21.000000,,
33,176,2020-12-27 09:41:21.170453,,
34,177,2020-12-27 22:15:10.390614,,
35,207,2020-12-28 09:41:22.114522,,
36,210,2020-12-28 22:07:28.140800,,
37,252,2020-12-29 09:41:21.339592,,
38,255,2020-12-29 22:11:38.095970,,
39,306,2020-12-30 09:41:21.935772,,
40,309,2020-12-30 22:10:23.967848,,
41,364,2020-12-31 09:41:21.159641,,
42,367,2020-12-31 22:01:21.000000,,
43,442,2021-01-01 09:41:22.389491,,
44,443,2021-01-01 22:01:54.474587,,
45,499,2021-01-02 09:41:21.042707,,
46,499,2021-01-02 21:59:21.000000,,
47,585,2021-01-03 09:41:21.219457,,
48,593,2021-01-03 21:51:32.812268,,
49,678,2021-01-04 09:41:22.627618,,
